epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,159.4,0.014393,0.009122,0.9615,0.7827,0.9628,0.9602,0.788,0.7776,1.33,3.25
2,319.0,0.009022,0.008964,0.9679,0.7864,0.9688,0.9671,0.7898,0.7831,1.3,3.18
3,476.9,0.008922,0.008917,0.9687,0.7886,0.9694,0.968,0.7945,0.7828,1.28,3.19
4,636.2,0.008867,0.008906,0.9688,0.7884,0.9691,0.9684,0.7935,0.7834,1.2,3.18
5,795.9,0.008827,0.008869,0.9695,0.7901,0.9698,0.9691,0.7938,0.7863,1.24,3.15
6,954.2,0.008798,0.008846,0.9717,0.7917,0.9721,0.9712,0.7979,0.7857,1.24,3.15
7,1112.9,0.008773,0.008845,0.9703,0.7921,0.9705,0.97,0.7972,0.7872,1.27,3.13
8,1271.6,0.00875,0.008848,0.9718,0.7913,0.972,0.9717,0.7951,0.7876,1.26,3.2
9,1428.8,0.00873,0.00882,0.9718,0.7932,0.9723,0.9713,0.7966,0.7899,1.22,3.15
10,1585.9,0.008712,0.008824,0.9709,0.7924,0.9713,0.9705,0.7962,0.7887,1.25,3.13
11,1743.7,0.008693,0.008819,0.972,0.7922,0.9723,0.9717,0.7973,0.7872,1.24,3.13
12,1904.0,0.008675,0.008814,0.9724,0.7936,0.9726,0.9722,0.7957,0.7915,1.21,3.15
13,2064.6,0.008657,0.008813,0.9716,0.794,0.9718,0.9713,0.7979,0.7901,1.2,3.15
14,2223.9,0.008641,0.008806,0.9717,0.7946,0.972,0.9714,0.7991,0.7902,1.2,3.14
15,2383.6,0.008623,0.008812,0.9718,0.7933,0.9721,0.9716,0.7966,0.7899,1.2,3.12
16,2543.1,0.008605,0.00882,0.9708,0.794,0.9711,0.9704,0.7966,0.7914,1.19,3.15
17,2703.1,0.008588,0.008818,0.9725,0.7937,0.9729,0.9721,0.7973,0.7902,1.2,3.16
18,2862.4,0.00857,0.008815,0.9721,0.793,0.9726,0.9716,0.7961,0.79,1.24,3.11
19,3021.3,0.00855,0.008829,0.9719,0.7948,0.9723,0.9715,0.798,0.7917,1.24,3.15
20,3178.1,0.008533,0.00883,0.9713,0.7952,0.9715,0.9711,0.7985,0.7919,1.2,3.16
21,3335.0,0.008513,0.00886,0.9717,0.7928,0.9718,0.9716,0.7957,0.79,1.2,3.11
22,3492.0,0.008491,0.008871,0.9721,0.794,0.9726,0.9717,0.7966,0.7914,1.23,3.18
23,3648.6,0.008471,0.00888,0.9717,0.7937,0.9721,0.9712,0.797,0.7905,1.19,3.14
24,3805.9,0.008449,0.008893,0.9712,0.7931,0.9715,0.9709,0.7967,0.7896,1.22,3.15
25,3963.1,0.008425,0.008895,0.9714,0.7931,0.9718,0.971,0.7959,0.7903,1.24,3.14
26,4120.3,0.0084,0.008946,0.9714,0.7909,0.9719,0.9709,0.7943,0.7876,1.21,3.13
27,4277.4,0.008375,0.008942,0.9706,0.7918,0.9708,0.9704,0.7953,0.7883,1.19,3.13
28,4434.5,0.008346,0.008995,0.9695,0.7909,0.9698,0.9692,0.7941,0.7878,1.2,3.15
29,4591.3,0.008321,0.008986,0.9705,0.7903,0.9707,0.9702,0.7931,0.7875,1.2,3.14
