epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,23.2,0.048121,0.016879,0.6608,0.5368,0.7169,0.6129,0.6205,0.473,3.98,4.43
2,46.2,0.015985,0.015495,0.6949,0.5606,0.7702,0.633,0.5865,0.5369,3.71,4.34
3,69.2,0.015354,0.015107,0.7068,0.5711,0.7543,0.665,0.6115,0.5357,3.66,4.33
4,92.4,0.015058,0.014935,0.708,0.5722,0.7557,0.6661,0.6129,0.5365,3.74,4.26
5,115.3,0.014868,0.014776,0.7078,0.5746,0.7572,0.6644,0.6157,0.5387,3.64,4.27
6,138.3,0.014717,0.014652,0.7148,0.5716,0.7693,0.6675,0.593,0.5517,3.55,4.29
7,161.5,0.014595,0.014543,0.7192,0.5835,0.77,0.6746,0.6239,0.548,3.6,4.29
8,184.5,0.014504,0.014518,0.7195,0.5785,0.7754,0.6712,0.6175,0.5441,3.55,4.32
9,207.5,0.014416,0.01451,0.716,0.5786,0.767,0.6714,0.6218,0.541,3.48,4.23
10,230.5,0.014331,0.014504,0.7192,0.5791,0.7838,0.6644,0.6164,0.5461,3.59,4.24
11,253.5,0.014255,0.014467,0.7193,0.5796,0.7698,0.675,0.6317,0.5355,3.54,4.24
12,276.5,0.014174,0.014394,0.724,0.5798,0.7785,0.6766,0.6279,0.5386,3.47,4.23
13,299.7,0.014118,0.014365,0.7218,0.58,0.7635,0.6845,0.625,0.5411,3.48,4.22
14,322.8,0.014036,0.014415,0.7187,0.5823,0.7663,0.6766,0.6244,0.5456,3.47,4.22
15,345.9,0.013964,0.014427,0.7142,0.5824,0.7654,0.6694,0.625,0.5452,3.42,4.19
16,368.8,0.013884,0.014331,0.7255,0.5778,0.7693,0.6865,0.6412,0.5259,3.4,4.27
17,391.8,0.013802,0.014311,0.7217,0.582,0.7778,0.6732,0.6169,0.5509,3.46,4.19
18,414.9,0.013729,0.014332,0.7216,0.5776,0.7662,0.6818,0.6387,0.5272,3.45,4.2
19,437.8,0.013656,0.014223,0.7263,0.5842,0.7714,0.6863,0.6246,0.5487,3.49,4.28
20,460.8,0.013591,0.014314,0.7276,0.5823,0.772,0.6881,0.619,0.5497,3.45,4.23
21,483.8,0.013518,0.014358,0.7188,0.581,0.7591,0.6825,0.6365,0.5344,3.39,4.17
22,506.9,0.013447,0.014471,0.7179,0.5766,0.7679,0.6741,0.6065,0.5496,3.36,4.19
23,529.8,0.013382,0.014431,0.7225,0.58,0.761,0.6877,0.6315,0.5363,3.45,4.21
24,552.9,0.013298,0.014425,0.7227,0.5837,0.7669,0.6833,0.6058,0.5632,3.38,4.27
25,575.8,0.013221,0.014741,0.7098,0.5789,0.7579,0.6674,0.6424,0.5268,3.43,4.18
26,598.8,0.013143,0.014739,0.7122,0.5804,0.7568,0.6724,0.6176,0.5474,3.41,4.18
27,621.7,0.013066,0.014714,0.7211,0.5778,0.7558,0.6895,0.5968,0.56,3.38,4.24
28,644.6,0.012982,0.014852,0.7112,0.5755,0.7544,0.6727,0.6061,0.5478,3.52,4.34
29,667.6,0.012876,0.014898,0.7169,0.5766,0.7575,0.6804,0.5896,0.5641,3.36,4.25
30,690.7,0.012796,0.014942,0.7176,0.5744,0.7508,0.6872,0.6037,0.5478,3.34,4.19
31,713.7,0.012698,0.015098,0.7082,0.5753,0.7414,0.6778,0.6091,0.5452,3.47,4.21
32,736.7,0.012612,0.01519,0.7124,0.5732,0.7414,0.6856,0.5903,0.557,3.33,4.23
33,759.8,0.01251,0.015268,0.7157,0.5758,0.7467,0.6872,0.5984,0.5548,3.36,4.26
34,782.8,0.012399,0.015316,0.7167,0.5715,0.7508,0.6855,0.5948,0.55,3.34,4.22
