Comp,Event,Date,Time,Inst,Ptimepick,Stimepick
manual,46,26/11/2023,09:54:20,5,13.26,15.7
manual,46,26/11/2023,09:54:20,6,13.14,15.46
manual,46,26/11/2023,09:54:20,7,14.65,18.03
manual,46,26/11/2023,09:54:20,8,14.56,17.95
manual,46,26/11/2023,09:54:20,9,15.42,19.35
manual,46,26/11/2023,09:54:20,10,15.36,19.27
manual,64,26/11/2023,20:05:00,1,14.2,17.31
manual,64,26/11/2023,20:05:00,2,14.15,17.18
manual,64,26/11/2023,20:05:00,3,,
manual,64,26/11/2023,20:05:00,4,,
manual,64,26/11/2023,20:05:00,5,11.84,13.2
manual,64,26/11/2023,20:05:00,6,11.74,13.02
manual,64,26/11/2023,20:05:00,7,12.46,14.24
manual,64,26/11/2023,20:05:00,8,12.38,14.1
manual,64,26/11/2023,20:05:00,9,13.12,15.36
manual,64,26/11/2023,20:05:00,10,13.08,15.31
manual,45,29/11/2023,17:23:50,1,13.23,15.59
manual,45,29/11/2023,17:23:50,2,13.19,15.48
manual,45,29/11/2023,17:23:50,3,,
manual,45,29/11/2023,17:23:50,4,,
manual,45,29/11/2023,17:23:50,5,11.84,13.22
manual,45,29/11/2023,17:23:50,6,11.76,13.04
manual,45,29/11/2023,17:23:50,7,11.66,12.84
manual,45,29/11/2023,17:23:50,8,11.59,12.68
manual,45,29/11/2023,17:23:50,9,12.15,13.67
manual,45,29/11/2023,17:23:50,10,12.09,13.6
manual,103,29/11/2023,17:30:01,1,13.24,15.59
manual,103,29/11/2023,17:30:01,2,13.19,15.48
manual,103,29/11/2023,17:30:01,3,,
manual,103,29/11/2023,17:30:01,4,,
manual,103,29/11/2023,17:30:01,5,11.85,13.22
manual,103,29/11/2023,17:30:01,6,11.76,13.04
manual,103,29/11/2023,17:30:01,7,11.67,12.83
manual,103,29/11/2023,17:30:01,8,11.59,12.67
manual,103,29/11/2023,17:30:01,9,12.15,13.67
manual,103,29/11/2023,17:30:01,10,12.1,13.58
manual,95,29/11/2023,19:55:15,1,14.79,18.26
manual,95,29/11/2023,19:55:15,2,14.75,18.15
manual,95,29/11/2023,19:55:15,3,15.6,19.74
manual,95,29/11/2023,19:55:15,4,15.54,19.65
manual,95,29/11/2023,19:55:15,5,11.75,13.07
manual,95,29/11/2023,19:55:15,6,11.64,12.77
manual,95,29/11/2023,19:55:15,7,13.01,15.26
manual,95,29/11/2023,19:55:15,8,12.94,15.08
manual,95,29/11/2023,19:55:15,9,13.66,16.3
manual,95,29/11/2023,19:55:15,10,13.61,16.28
manual,92,29/11/2023,19:59:40,1,14.81,18.27
manual,92,29/11/2023,19:59:40,2,14.77,18.16
manual,92,29/11/2023,19:59:40,3,,
manual,92,29/11/2023,19:59:40,4,,
manual,92,29/11/2023,19:59:40,5,11.79,13.1
manual,92,29/11/2023,19:59:40,6,11.66,12.93
manual,92,29/11/2023,19:59:40,7,13.04,15.28
manual,92,29/11/2023,19:59:40,8,12.96,15.15
manual,92,29/11/2023,19:59:40,9,13.67,16.35
manual,92,29/11/2023,19:59:40,10,13.62,16.27
manual,20,29/11/2023,20:00:40,1,14.79,18.24
manual,20,29/11/2023,20:00:40,2,14.76,18.15
manual,20,29/11/2023,20:00:40,3,15.62,19.95
manual,20,29/11/2023,20:00:40,4,15.57,19.71
manual,20,29/11/2023,20:00:40,5,11.77,13.08
manual,20,29/11/2023,20:00:40,6,11.66,12.9
manual,20,29/11/2023,20:00:40,7,13.02,15.26
manual,20,29/11/2023,20:00:40,8,12.94,15.08
manual,20,29/11/2023,20:00:40,9,13.67,16.33
manual,20,29/11/2023,20:00:40,10,13.62,16.28
manual,42,29/11/2023,20:03:27,1,14.77,18.24
manual,42,29/11/2023,20:03:27,2,14.73,18.14
manual,42,29/11/2023,20:03:27,3,,
manual,42,29/11/2023,20:03:27,4,,
manual,42,29/11/2023,20:03:27,5,11.8,13.07
manual,42,29/11/2023,20:03:27,6,11.66,12.86
manual,42,29/11/2023,20:03:27,7,13.01,15.23
manual,42,29/11/2023,20:03:27,8,12.93,15.07
manual,42,29/11/2023,20:03:27,9,13.64,16.3
manual,42,29/11/2023,20:03:27,10,13.61,16.26
manual,28,29/11/2023,20:11:47,1,14.81,18.33
manual,28,29/11/2023,20:11:47,2,14.77,18.21
manual,28,29/11/2023,20:11:47,3,,
manual,28,29/11/2023,20:11:47,4,,
manual,28,29/11/2023,20:11:47,5,11.81,13.13
manual,28,29/11/2023,20:11:47,6,11.69,13.0
manual,28,29/11/2023,20:11:47,7,13.05,15.26
manual,28,29/11/2023,20:11:47,8,12.97,15.11
manual,28,29/11/2023,20:11:47,9,13.68,16.38
manual,28,29/11/2023,20:11:47,10,13.64,16.3
manual,88,29/11/2023,20:17:26,1,14.81,
manual,88,29/11/2023,20:17:26,2,14.73,18.23
manual,88,29/11/2023,20:17:26,3,,
manual,88,29/11/2023,20:17:26,4,,
manual,88,29/11/2023,20:17:26,5,11.77,13.1
manual,88,29/11/2023,20:17:26,6,11.65,12.94
manual,88,29/11/2023,20:17:26,7,13.06,15.28
manual,88,29/11/2023,20:17:26,8,12.96,15.12
manual,88,29/11/2023,20:17:26,9,13.71,16.37
manual,88,29/11/2023,20:17:26,10,13.67,16.3
manual,7,29/11/2023,20:17:34,1,14.79,18.24
manual,7,29/11/2023,20:17:34,2,14.76,18.11
manual,7,29/11/2023,20:17:34,3,,
manual,7,29/11/2023,20:17:34,4,,
manual,7,29/11/2023,20:17:34,5,11.76,13.07
manual,7,29/11/2023,20:17:34,6,11.65,12.88
manual,7,29/11/2023,20:17:34,7,13.01,15.26
manual,7,29/11/2023,20:17:34,8,12.94,15.09
manual,7,29/11/2023,20:17:34,9,13.66,16.32
manual,7,29/11/2023,20:17:34,10,13.61,16.26
manual,59,29/11/2023,20:21:03,1,14.83,
manual,59,29/11/2023,20:21:03,2,14.76,
manual,59,29/11/2023,20:21:03,3,,
manual,59,29/11/2023,20:21:03,4,,
manual,59,29/11/2023,20:21:03,5,11.82,13.14
manual,59,29/11/2023,20:21:03,6,11.71,12.97
manual,59,29/11/2023,20:21:03,7,13.05,15.29
manual,59,29/11/2023,20:21:03,8,13.01,15.16
manual,59,29/11/2023,20:21:03,9,,
manual,59,29/11/2023,20:21:03,10,,
manual,57,29/11/2023,21:04:10,1,14.84,18.32
manual,57,29/11/2023,21:04:10,2,14.78,18.24
manual,57,29/11/2023,21:04:10,3,,
manual,57,29/11/2023,21:04:10,4,,
manual,57,29/11/2023,21:04:10,5,11.84,13.16
manual,57,29/11/2023,21:04:10,6,11.7,12.98
manual,57,29/11/2023,21:04:10,7,13.06,15.32
manual,57,29/11/2023,21:04:10,8,13.0,15.15
manual,57,29/11/2023,21:04:10,9,13.69,16.41
manual,57,29/11/2023,21:04:10,10,13.64,16.31
manual,48,29/11/2023,22:21:04,1,14.83,18.33
manual,48,29/11/2023,22:21:04,2,14.78,18.18
manual,48,29/11/2023,22:21:04,3,,
manual,48,29/11/2023,22:21:04,4,,
manual,48,29/11/2023,22:21:04,5,11.79,13.13
manual,48,29/11/2023,22:21:04,6,11.69,12.96
manual,48,29/11/2023,22:21:04,7,13.06,15.31
manual,48,29/11/2023,22:21:04,8,12.98,15.14
manual,48,29/11/2023,22:21:04,9,13.68,16.37
manual,48,29/11/2023,22:21:04,10,13.65,16.32
manual,34,30/11/2023,10:41:41,1,14.83,18.3
manual,34,30/11/2023,10:41:41,2,14.78,18.18
manual,34,30/11/2023,10:41:41,3,,
manual,34,30/11/2023,10:41:41,4,,
manual,34,30/11/2023,10:41:41,5,11.84,13.14
manual,34,30/11/2023,10:41:41,6,11.73,12.96
manual,34,30/11/2023,10:41:41,7,13.05,15.29
manual,34,30/11/2023,10:41:41,8,12.98,15.14
manual,34,30/11/2023,10:41:41,9,13.7,16.35
manual,34,30/11/2023,10:41:41,10,13.63,16.3
manual,40,30/11/2023,15:26:32,1,17.98,23.81
manual,40,30/11/2023,15:26:32,2,17.94,23.72
manual,40,30/11/2023,15:26:32,3,,
manual,40,30/11/2023,15:26:32,4,,
manual,40,30/11/2023,15:26:32,5,14.2,17.42
manual,40,30/11/2023,15:26:32,6,14.11,17.22
manual,40,30/11/2023,15:26:32,7,16.1,20.58
manual,40,30/11/2023,15:26:32,8,16.06,20.46
manual,40,30/11/2023,15:26:32,9,16.4,21.82
manual,40,30/11/2023,15:26:32,10,16.42,21.72
manual,94,01/12/2023,15:35:32,1,14.86,18.3
manual,94,01/12/2023,15:35:32,2,14.81,18.19
manual,94,01/12/2023,15:35:32,3,,
manual,94,01/12/2023,15:35:32,4,,
manual,94,01/12/2023,15:35:32,5,11.81,13.15
manual,94,01/12/2023,15:35:32,6,11.71,12.94
manual,94,01/12/2023,15:35:32,7,13.07,15.35
manual,94,01/12/2023,15:35:32,8,13.01,15.16
manual,94,01/12/2023,15:35:32,9,,
manual,94,01/12/2023,15:35:32,10,,
manual,51,02/12/2023,13:39:05,1,14.82,18.31
manual,51,02/12/2023,13:39:05,2,14.8,18.26
manual,51,02/12/2023,13:39:05,3,15.65,19.69
manual,51,02/12/2023,13:39:05,4,15.6,19.58
manual,51,02/12/2023,13:39:05,5,12.06,13.59
manual,51,02/12/2023,13:39:05,6,11.95,13.41
manual,51,02/12/2023,13:39:05,7,13.2,15.5
manual,51,02/12/2023,13:39:05,8,13.11,15.37
manual,51,02/12/2023,13:39:05,9,13.74,16.5
manual,51,02/12/2023,13:39:05,10,13.7,16.42
manual,71,02/12/2023,16:53:40,1,13.7,16.45
manual,71,02/12/2023,16:53:40,2,13.65,16.31
manual,71,02/12/2023,16:53:40,3,,
manual,71,02/12/2023,16:53:40,4,,
manual,71,02/12/2023,16:53:40,5,11.92,13.16
manual,71,02/12/2023,16:53:40,6,11.77,13.02
manual,71,02/12/2023,16:53:40,7,11.77,13.12
manual,71,02/12/2023,16:53:40,8,11.66,12.97
manual,71,02/12/2023,16:53:40,9,12.59,14.46
manual,71,02/12/2023,16:53:40,10,12.52,14.38
manual,106,02/12/2023,19:51:08,1,14.78,18.08
manual,106,02/12/2023,19:51:08,2,14.7,17.76
manual,106,02/12/2023,19:51:08,3,,
manual,106,02/12/2023,19:51:08,4,,
manual,106,02/12/2023,19:51:08,5,11.75,13.06
manual,106,02/12/2023,19:51:08,6,11.65,12.86
manual,106,02/12/2023,19:51:08,7,12.94,15.26
manual,106,02/12/2023,19:51:08,8,12.93,15.1
manual,106,02/12/2023,19:51:08,9,13.66,16.34
manual,106,02/12/2023,19:51:08,10,13.63,16.26
manual,89,03/12/2023,22:26:37,1,13.96,16.86
manual,89,03/12/2023,22:26:37,2,13.88,16.77
manual,89,03/12/2023,22:26:37,3,,
manual,89,03/12/2023,22:26:37,4,,
manual,89,03/12/2023,22:26:37,5,11.93,13.3
manual,89,03/12/2023,22:26:37,6,11.82,13.13
manual,89,03/12/2023,22:26:37,7,12.07,13.58
manual,89,03/12/2023,22:26:37,8,12.03,13.44
manual,89,03/12/2023,22:26:37,9,,14.9
manual,89,03/12/2023,22:26:37,10,,14.86
manual,26,03/12/2023,22:27:18,1,13.93,16.83
manual,26,03/12/2023,22:27:18,2,13.9,16.73
manual,26,03/12/2023,22:27:18,3,,
manual,26,03/12/2023,22:27:18,4,,
manual,26,03/12/2023,22:27:18,5,11.89,13.27
manual,26,03/12/2023,22:27:18,6,11.8,13.11
manual,26,03/12/2023,22:27:18,7,12.07,13.55
manual,26,03/12/2023,22:27:18,8,11.94,13.39
manual,26,03/12/2023,22:27:18,9,,14.9
manual,26,03/12/2023,22:27:18,10,,14.78
manual,32,04/12/2023,13:57:51,1,12.29,13.97
manual,32,04/12/2023,13:57:51,2,12.24,13.85
manual,32,04/12/2023,13:57:51,3,,
manual,32,04/12/2023,13:57:51,4,,
manual,32,04/12/2023,13:57:51,5,13.69,16.45
manual,32,04/12/2023,13:57:51,6,13.63,16.31
manual,32,04/12/2023,13:57:51,7,12.44,14.08
manual,32,04/12/2023,13:57:51,8,12.36,13.94
manual,32,04/12/2023,13:57:51,9,,
manual,32,04/12/2023,13:57:51,10,,
manual,35,04/12/2023,22:19:19,1,12.44,14.14
manual,35,04/12/2023,22:19:19,2,12.38,13.99
manual,35,04/12/2023,22:19:19,3,,
manual,35,04/12/2023,22:19:19,4,,
manual,35,04/12/2023,22:19:19,5,,
manual,35,04/12/2023,22:19:19,6,,
manual,35,04/12/2023,22:19:19,7,12.26,14.2
manual,35,04/12/2023,22:19:19,8,12.17,14.09
manual,35,04/12/2023,22:19:19,9,,13.6
manual,35,04/12/2023,22:19:19,10,,13.44
manual,23,04/12/2023,22:25:26,1,12.69,14.6
manual,23,04/12/2023,22:25:26,2,12.61,14.49
manual,23,04/12/2023,22:25:26,3,15.95,19.86
manual,23,04/12/2023,22:25:26,4,15.85,19.78
manual,23,04/12/2023,22:25:26,5,13.9,16.83
manual,23,04/12/2023,22:25:26,6,13.84,16.64
manual,23,04/12/2023,22:25:26,7,12.72,14.59
manual,23,04/12/2023,22:25:26,8,12.64,14.49
manual,23,04/12/2023,22:25:26,9,12.42,14.11
manual,23,04/12/2023,22:25:26,10,12.34,13.98
manual,4,06/12/2023,23:32:39,1,12.88,15.0
manual,4,06/12/2023,23:32:39,2,12.83,14.91
manual,4,06/12/2023,23:32:39,3,,
manual,4,06/12/2023,23:32:39,4,,
manual,4,06/12/2023,23:32:39,5,12.1,13.71
manual,4,06/12/2023,23:32:39,6,12.07,13.56
manual,4,06/12/2023,23:32:39,7,11.28,12.17
manual,4,06/12/2023,23:32:39,8,11.2,12.02
manual,4,06/12/2023,23:32:39,10,,
manual,60,07/12/2023,09:38:18,1,12.46,14.24
manual,60,07/12/2023,09:38:18,2,12.39,14.1
manual,60,07/12/2023,09:38:18,3,,
manual,60,07/12/2023,09:38:18,4,,
manual,60,07/12/2023,09:38:18,5,14.0,17.0
manual,60,07/12/2023,09:38:18,6,13.93,16.87
manual,60,07/12/2023,09:38:18,7,12.63,14.51
manual,60,07/12/2023,09:38:18,8,12.56,14.38
manual,60,07/12/2023,09:38:18,9,,
manual,60,07/12/2023,09:38:18,10,,
manual,58,07/12/2023,22:46:21,1,12.29,13.98
manual,58,07/12/2023,22:46:21,2,12.23,13.84
manual,58,07/12/2023,22:46:21,3,,
manual,58,07/12/2023,22:46:21,4,,
manual,58,07/12/2023,22:46:21,5,13.8,16.7
manual,58,07/12/2023,22:46:21,6,13.73,16.5
manual,58,07/12/2023,22:46:21,7,12.5,14.27
manual,58,07/12/2023,22:46:21,8,12.42,14.13
manual,58,07/12/2023,22:46:21,9,,
manual,58,07/12/2023,22:46:21,10,11.97,
manual,80,09/12/2023,12:46:05,1,14.39,17.6
manual,80,09/12/2023,12:46:05,2,14.42,17.48
manual,80,09/12/2023,12:46:05,3,,
manual,80,09/12/2023,12:46:05,4,,
manual,80,09/12/2023,12:46:05,5,12.34,14.08
manual,80,09/12/2023,12:46:05,6,12.24,13.92
manual,80,09/12/2023,12:46:05,7,12.54,14.38
manual,80,09/12/2023,12:46:05,8,12.46,14.27
manual,80,09/12/2023,12:46:05,9,13.33,15.75
manual,80,09/12/2023,12:46:05,10,13.27,15.64
manual,11,09/12/2023,15:41:34,1,14.23,17.31
manual,11,09/12/2023,15:41:34,2,14.2,17.22
manual,11,09/12/2023,15:41:34,3,15.88,20.11
manual,11,09/12/2023,15:41:34,4,15.83,20.01
manual,11,09/12/2023,15:41:34,5,11.79,13.11
manual,11,09/12/2023,15:41:34,6,11.68,12.91
manual,11,09/12/2023,15:41:34,7,12.47,14.29
manual,11,09/12/2023,15:41:34,8,12.4,14.15
manual,11,09/12/2023,15:41:34,9,13.13,15.42
manual,11,09/12/2023,15:41:34,10,13.07,15.31
manual,24,09/12/2023,15:45:43,1,14.23,17.33
manual,24,09/12/2023,15:45:43,2,14.2,17.2
manual,24,09/12/2023,15:45:43,3,,
manual,24,09/12/2023,15:45:43,4,,
manual,24,09/12/2023,15:45:43,5,11.79,13.11
manual,24,09/12/2023,15:45:43,6,11.68,12.91
manual,24,09/12/2023,15:45:43,7,12.47,14.29
manual,24,09/12/2023,15:45:43,8,12.4,14.13
manual,24,09/12/2023,15:45:43,9,,15.39
manual,24,09/12/2023,15:45:43,10,,15.33
manual,101,10/12/2023,19:42:11,1,12.2,13.76
manual,101,10/12/2023,19:42:11,2,12.13,13.63
manual,101,10/12/2023,19:42:11,3,,19.39
manual,101,10/12/2023,19:42:11,4,,19.32
manual,101,10/12/2023,19:42:11,5,13.76,16.55
manual,101,10/12/2023,19:42:11,6,13.68,16.38
manual,101,10/12/2023,19:42:11,7,12.45,14.11
manual,101,10/12/2023,19:42:11,8,12.37,14.01
manual,101,10/12/2023,19:42:11,9,11.97,13.36
manual,101,10/12/2023,19:42:11,10,11.88,13.2
manual,39,11/12/2023,17:41:26,1,12.28,13.62
manual,39,11/12/2023,17:41:26,2,12.01,13.49
manual,39,11/12/2023,17:41:26,3,,
manual,39,11/12/2023,17:41:26,4,,
manual,39,11/12/2023,17:41:26,5,,16.62
manual,39,11/12/2023,17:41:26,6,13.71,16.41
manual,39,11/12/2023,17:41:26,7,,
manual,39,11/12/2023,17:41:26,8,,
manual,39,11/12/2023,17:41:26,9,13.27,15.55
manual,39,11/12/2023,17:41:26,10,13.11,15.46
manual,22,12/12/2023,15:01:19,1,12.15,13.64
manual,22,12/12/2023,15:01:19,2,12.07,13.5
manual,22,12/12/2023,15:01:19,3,,19.63
manual,22,12/12/2023,15:01:19,4,,19.52
manual,22,12/12/2023,15:01:19,5,13.84,16.65
manual,22,12/12/2023,15:01:19,6,13.75,16.47
manual,22,12/12/2023,15:01:19,7,12.39,14.1
manual,22,12/12/2023,15:01:19,8,12.35,13.97
manual,22,12/12/2023,15:01:19,9,11.93,13.27
manual,22,12/12/2023,15:01:19,10,11.85,13.13
manual,2,12/12/2023,18:11:36,1,14.17,17.36
manual,2,12/12/2023,18:11:36,2,14.26,17.28
manual,2,12/12/2023,18:11:36,3,,
manual,2,12/12/2023,18:11:36,4,,
manual,2,12/12/2023,18:11:36,5,12.22,13.81
manual,2,12/12/2023,18:11:36,6,12.08,13.6
manual,2,12/12/2023,18:11:36,7,,
manual,2,12/12/2023,18:11:36,8,,
manual,2,12/12/2023,18:11:36,9,13.28,15.54
manual,2,12/12/2023,18:11:36,10,13.22,15.47
manual,75,13/12/2023,08:45:14,1,14.81,18.29
manual,75,13/12/2023,08:45:14,2,14.76,18.19
manual,75,13/12/2023,08:45:14,3,19.82,
manual,75,13/12/2023,08:45:14,4,19.7,
manual,75,13/12/2023,08:45:14,5,11.78,13.11
manual,75,13/12/2023,08:45:14,6,11.67,12.91
manual,75,13/12/2023,08:45:14,7,13.04,15.27
manual,75,13/12/2023,08:45:14,8,,
manual,75,13/12/2023,08:45:14,9,13.68,16.37
manual,75,13/12/2023,08:45:14,10,13.63,16.27
manual,6,15/12/2023,04:52:31,1,14.79,18.28
manual,6,15/12/2023,04:52:31,2,14.76,18.19
manual,6,15/12/2023,04:52:31,3,,
manual,6,15/12/2023,04:52:31,4,,
manual,6,15/12/2023,04:52:31,5,11.78,13.1
manual,6,15/12/2023,04:52:31,6,11.66,12.91
manual,6,15/12/2023,04:52:31,7,13.03,15.25
manual,6,15/12/2023,04:52:31,8,12.95,15.11
manual,6,15/12/2023,04:52:31,9,,16.34
manual,6,15/12/2023,04:52:31,10,13.61,16.25
manual,70,15/12/2023,19:09:59,1,14.56,16.77
manual,70,15/12/2023,19:09:59,2,14.48,16.68
manual,70,15/12/2023,19:09:59,3,,
manual,70,15/12/2023,19:09:59,4,,
manual,70,15/12/2023,19:09:59,5,12.11,13.52
manual,70,15/12/2023,19:09:59,6,12.02,13.37
manual,70,15/12/2023,19:09:59,7,12.13,13.52
manual,70,15/12/2023,19:09:59,8,12.01,13.38
manual,70,15/12/2023,19:09:59,9,,
manual,70,15/12/2023,19:09:59,10,,
manual,10,16/12/2023,14:45:13,1,13.32,15.71
manual,10,16/12/2023,14:45:13,2,13.29,15.6
manual,10,16/12/2023,14:45:13,3,18.99,
manual,10,16/12/2023,14:45:13,4,18.89,
manual,10,16/12/2023,14:45:13,5,11.81,13.14
manual,10,16/12/2023,14:45:13,6,11.72,12.97
manual,10,16/12/2023,14:45:13,7,11.78,13.05
manual,10,16/12/2023,14:45:13,8,11.73,12.91
manual,10,16/12/2023,14:45:13,9,12.21,13.83
manual,10,16/12/2023,14:45:13,10,12.17,13.74
manual,104,16/12/2023,20:39:01,1,12.73,14.8
manual,104,16/12/2023,20:39:01,2,12.68,14.66
manual,104,16/12/2023,20:39:01,3,16.14,20.52
manual,104,16/12/2023,20:39:01,4,16.1,20.41
manual,104,16/12/2023,20:39:01,5,15.45,19.57
manual,104,16/12/2023,20:39:01,6,15.38,19.42
manual,104,16/12/2023,20:39:01,7,13.99,16.92
manual,104,16/12/2023,20:39:01,8,13.93,16.82
manual,104,16/12/2023,20:39:01,9,13.26,15.68
manual,104,16/12/2023,20:39:01,10,13.21,15.53
manual,31,17/12/2023,12:43:26,1,16.95,24.6
manual,31,17/12/2023,12:43:26,2,16.92,24.49
manual,31,17/12/2023,12:43:26,3,15.81,22.6
manual,31,17/12/2023,12:43:26,4,15.78,22.49
manual,31,17/12/2023,12:43:26,5,13.13,18.12
manual,31,17/12/2023,12:43:26,6,13.06,18.01
manual,31,17/12/2023,12:43:26,7,15.02,21.4
manual,31,17/12/2023,12:43:26,8,14.95,21.18
manual,31,17/12/2023,12:43:26,9,15.78,22.58
manual,31,17/12/2023,12:43:26,10,15.75,22.49
manual,44,17/12/2023,23:04:04,1,11.47,15.17
manual,44,17/12/2023,23:04:04,2,11.32,15.02
manual,44,17/12/2023,23:04:04,3,,21.13
manual,44,17/12/2023,23:04:04,4,16.71,21.02
manual,44,17/12/2023,23:04:04,5,,
manual,44,17/12/2023,23:04:04,6,,
manual,44,17/12/2023,23:04:04,7,14.53,17.39
manual,44,17/12/2023,23:04:04,8,14.46,17.27
manual,44,17/12/2023,23:04:04,9,12.32,16.13
manual,44,17/12/2023,23:04:04,10,12.3,15.96
manual,87,18/12/2023,15:58:05,1,14.62,18.01
manual,87,18/12/2023,15:58:05,2,14.58,17.92
manual,87,18/12/2023,15:58:05,3,16.49,21.1
manual,87,18/12/2023,15:58:05,4,16.39,21.01
manual,87,18/12/2023,15:58:05,5,12.03,13.54
manual,87,18/12/2023,15:58:05,6,11.92,13.32
manual,87,18/12/2023,15:58:05,7,12.78,14.81
manual,87,18/12/2023,15:58:05,8,12.7,14.57
manual,87,18/12/2023,15:58:05,9,13.52,16.1
manual,87,18/12/2023,15:58:05,10,13.47,16.0
manual,25,18/12/2023,17:23:00,1,14.6,17.99
manual,25,18/12/2023,17:23:00,2,14.56,17.88
manual,25,18/12/2023,17:23:00,3,,
manual,25,18/12/2023,17:23:00,4,,
manual,25,18/12/2023,17:23:00,5,12.01,13.51
manual,25,18/12/2023,17:23:00,6,11.9,13.31
manual,25,18/12/2023,17:23:00,7,12.76,14.79
manual,25,18/12/2023,17:23:00,8,12.72,14.59
manual,25,18/12/2023,17:23:00,9,,16.06
manual,25,18/12/2023,17:23:00,10,,15.96
manual,72,19/12/2023,23:58:43,1,14.58,17.96
manual,72,19/12/2023,23:58:43,2,14.56,17.86
manual,72,19/12/2023,23:58:43,3,,
manual,72,19/12/2023,23:58:43,4,,
manual,72,19/12/2023,23:58:43,5,11.97,13.48
manual,72,19/12/2023,23:58:43,6,11.88,13.27
manual,72,19/12/2023,23:58:43,7,13.41,14.72
manual,72,19/12/2023,23:58:43,8,13.34,14.56
manual,72,19/12/2023,23:58:43,9,13.48,16.03
manual,72,19/12/2023,23:58:43,10,13.43,15.96
manual,16,20/12/2023,20:44:30,1,14.66,18.04
manual,16,20/12/2023,20:44:30,2,14.54,17.93
manual,16,20/12/2023,20:44:30,3,,
manual,16,20/12/2023,20:44:30,4,,
manual,16,20/12/2023,20:44:30,5,12.06,13.58
manual,16,20/12/2023,20:44:30,6,11.95,13.37
manual,16,20/12/2023,20:44:30,7,,14.84
manual,16,20/12/2023,20:44:30,8,,14.72
manual,16,20/12/2023,20:44:30,9,,16.15
manual,16,20/12/2023,20:44:30,10,,16.05
manual,85,21/12/2023,00:35:58,1,13.58,16.22
manual,85,21/12/2023,00:35:58,2,13.51,16.1
manual,85,21/12/2023,00:35:58,3,,24.21
manual,85,21/12/2023,00:35:58,4,,24.14
manual,85,21/12/2023,00:35:58,5,,
manual,85,21/12/2023,00:35:58,6,,
manual,85,21/12/2023,00:35:58,7,,
manual,85,21/12/2023,00:35:58,8,,
manual,85,21/12/2023,00:35:58,9,14.39,17.5
manual,85,21/12/2023,00:35:58,10,14.25,17.4
manual,50,21/12/2023,03:25:22,1,12.51,14.22
manual,50,21/12/2023,03:25:22,2,12.45,14.13
manual,50,21/12/2023,03:25:22,3,,19.74
manual,50,21/12/2023,03:25:22,4,,19.62
manual,50,21/12/2023,03:25:22,5,13.8,16.58
manual,50,21/12/2023,03:25:22,6,13.74,16.37
manual,50,21/12/2023,03:25:22,7,,14.23
manual,50,21/12/2023,03:25:22,8,,14.1
manual,50,21/12/2023,03:25:22,9,,13.71
manual,50,21/12/2023,03:25:22,10,,13.55
manual,19,21/12/2023,15:59:36,1,13.74,16.49
manual,19,21/12/2023,15:59:36,2,13.72,16.39
manual,19,21/12/2023,15:59:36,3,,
manual,19,21/12/2023,15:59:36,4,,
manual,19,21/12/2023,15:59:36,5,12.06,13.62
manual,19,21/12/2023,15:59:36,6,11.98,13.46
manual,19,21/12/2023,15:59:36,7,11.86,13.24
manual,19,21/12/2023,15:59:36,8,11.79,13.13
manual,19,21/12/2023,15:59:36,9,12.67,14.6
manual,19,21/12/2023,15:59:36,10,12.61,14.5
manual,68,25/12/2023,04:11:23,1,14.8,18.3
manual,68,25/12/2023,04:11:23,2,14.77,18.21
manual,68,25/12/2023,04:11:23,3,,
manual,68,25/12/2023,04:11:23,4,,
manual,68,25/12/2023,04:11:23,5,11.77,13.09
manual,68,25/12/2023,04:11:23,6,11.66,12.89
manual,68,25/12/2023,04:11:23,7,13.02,15.24
manual,68,25/12/2023,04:11:23,8,12.95,15.09
manual,68,25/12/2023,04:11:23,9,13.67,16.36
manual,68,25/12/2023,04:11:23,10,13.62,16.27
manual,54,25/12/2023,20:18:48,1,16.67,21.5
manual,54,25/12/2023,20:18:48,2,16.63,21.4
manual,54,25/12/2023,20:18:48,3,,
manual,54,25/12/2023,20:18:48,4,,
manual,54,25/12/2023,20:18:48,5,13.22,15.62
manual,54,25/12/2023,20:18:48,6,13.12,15.41
manual,54,25/12/2023,20:18:48,7,14.75,18.21
manual,54,25/12/2023,20:18:48,8,14.68,18.11
manual,54,25/12/2023,20:18:48,9,15.56,19.51
manual,54,25/12/2023,20:18:48,10,15.45,19.45
manual,12,25/12/2023,21:37:33,1,12.33,13.94
manual,12,25/12/2023,21:37:33,2,12.26,13.84
manual,12,25/12/2023,21:37:33,3,15.59,19.41
manual,12,25/12/2023,21:37:33,4,15.56,19.3
manual,12,25/12/2023,21:37:33,5,13.69,16.43
manual,12,25/12/2023,21:37:33,6,13.62,16.23
manual,12,25/12/2023,21:37:33,7,12.43,14.11
manual,12,25/12/2023,21:37:33,8,12.35,13.98
manual,12,25/12/2023,21:37:33,9,12.03,13.44
manual,12,25/12/2023,21:37:33,10,11.94,13.3
manual,63,26/12/2023,04:40:06,1,14.16,17.19
manual,63,26/12/2023,04:40:06,2,14.13,17.08
manual,63,26/12/2023,04:40:06,3,,
manual,63,26/12/2023,04:40:06,4,,
manual,63,26/12/2023,04:40:06,5,11.11,11.93
manual,63,26/12/2023,04:40:06,6,11.0,11.73
manual,63,26/12/2023,04:40:06,7,12.15,13.78
manual,63,26/12/2023,04:40:06,8,12.12,13.66
