Comp,Event,Date,Time,Inst,Ptimepick,Stimepick
manual,38,10/10/2023,15:29:58,4,15.16,18.95
manual,38,10/10/2023,15:29:58,5,12.08,13.6
manual,38,10/10/2023,15:29:58,6,11.99,13.43
manual,38,10/10/2023,15:29:58,7,11.74,12.95
manual,38,10/10/2023,15:29:58,8,11.67,12.81
manual,38,10/10/2023,15:29:58,9,12.06,13.51
manual,38,10/10/2023,15:29:58,10,12.0,13.43
manual,49,13/10/2023,18:47:12,1,14.33,17.42
manual,49,13/10/2023,18:47:12,2,14.27,17.37
manual,49,13/10/2023,18:47:12,3,,
manual,49,13/10/2023,18:47:12,4,,
manual,49,13/10/2023,18:47:12,5,11.9,13.27
manual,49,13/10/2023,18:47:12,6,11.79,13.08
manual,49,13/10/2023,18:47:12,7,12.8,14.82
manual,49,13/10/2023,18:47:12,8,12.73,14.68
manual,49,13/10/2023,18:47:12,9,13.0,15.59
manual,49,13/10/2023,18:47:12,10,12.92,15.53
manual,3,17/10/2023,03:14:43,1,18.82,25.48
manual,3,17/10/2023,03:14:43,2,18.8,25.38
manual,3,17/10/2023,03:14:43,3,17.71,23.24
manual,3,17/10/2023,03:14:43,4,17.58,23.15
manual,3,17/10/2023,03:14:43,5,15.0,18.96
manual,3,17/10/2023,03:14:43,6,14.93,18.81
manual,3,17/10/2023,03:14:43,7,16.93,22.28
manual,3,17/10/2023,03:14:43,8,16.87,22.16
manual,3,17/10/2023,03:14:43,9,17.65,23.46
manual,3,17/10/2023,03:14:43,10,17.61,23.42
manual,79,17/10/2023,15:48:12,1,14.51,17.79
manual,79,17/10/2023,15:48:12,2,14.48,17.76
manual,79,17/10/2023,15:48:12,3,,
manual,79,17/10/2023,15:48:12,4,,
manual,79,17/10/2023,15:48:12,5,12.51,14.28
manual,79,17/10/2023,15:48:12,6,12.36,14.07
manual,79,17/10/2023,15:48:12,7,12.61,14.57
manual,79,17/10/2023,15:48:12,8,12.56,14.42
manual,79,17/10/2023,15:48:12,9,13.43,15.96
manual,79,17/10/2023,15:48:12,10,13.4,15.88
