epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,302.2,0.014985,0.009922,0.8976,0.7916,0.9044,0.8908,0.8003,0.7831,1.98,2.82
2,604.1,0.009815,0.009783,0.8997,0.7939,0.9031,0.8963,0.7981,0.7897,1.86,2.79
3,906.6,0.009687,0.009708,0.9029,0.7958,0.9085,0.8974,0.8003,0.7913,1.87,2.77
4,1208.8,0.009612,0.009645,0.9034,0.7983,0.9099,0.897,0.8078,0.789,1.81,2.77
5,1510.8,0.009563,0.009621,0.904,0.799,0.9094,0.8986,0.8047,0.7934,1.82,2.76
6,1812.9,0.009523,0.009604,0.9068,0.8012,0.9147,0.8991,0.8124,0.7902,1.88,2.74
7,2115.0,0.009493,0.009576,0.907,0.8018,0.9121,0.9018,0.8131,0.7908,1.84,2.73
8,2417.2,0.009465,0.009548,0.908,0.8014,0.9144,0.9016,0.8095,0.7935,1.78,2.76
9,2719.5,0.00944,0.009539,0.9067,0.8025,0.9126,0.9009,0.8086,0.7965,1.78,2.73
10,3021.7,0.009417,0.00952,0.9071,0.8022,0.9131,0.9012,0.8062,0.7983,1.77,2.75
11,3324.0,0.009396,0.009533,0.9066,0.8022,0.9114,0.9018,0.8065,0.798,1.78,2.74
12,3626.8,0.009376,0.009498,0.9083,0.8022,0.9138,0.9029,0.8061,0.7983,1.8,2.73
13,3929.1,0.009356,0.009523,0.9069,0.8024,0.9144,0.8996,0.809,0.796,1.76,2.74
14,4231.4,0.009336,0.009492,0.9082,0.8048,0.9149,0.9016,0.8097,0.8,1.75,2.75
15,4533.8,0.009317,0.009494,0.9092,0.8042,0.9159,0.9026,0.8115,0.797,1.79,2.75
16,4836.0,0.009299,0.009501,0.9096,0.8038,0.9165,0.9029,0.8065,0.801,1.83,2.77
17,5138.3,0.009281,0.00949,0.9094,0.8038,0.9165,0.9023,0.8097,0.7981,1.77,2.76
18,5440.7,0.009263,0.009484,0.9079,0.805,0.9122,0.9035,0.8108,0.7992,1.77,2.73
19,5743.1,0.009245,0.009499,0.9086,0.8045,0.9123,0.9048,0.809,0.8,1.77,2.73
20,6045.3,0.009227,0.009497,0.9075,0.8035,0.9118,0.9032,0.8083,0.7989,1.74,2.74
21,6347.7,0.00921,0.009518,0.9082,0.8034,0.9125,0.9038,0.8117,0.7954,1.75,2.72
22,6650.0,0.009189,0.009508,0.9077,0.8045,0.9127,0.9028,0.8082,0.8008,1.79,2.79
23,6952.3,0.009169,0.009539,0.9082,0.8031,0.9133,0.9033,0.8088,0.7974,1.76,2.72
24,7254.7,0.009152,0.009543,0.9068,0.8055,0.9123,0.9014,0.8103,0.8007,1.75,2.76
25,7557.1,0.009131,0.009556,0.9088,0.805,0.9145,0.9032,0.8102,0.7998,1.78,2.75
26,7859.4,0.00911,0.009554,0.9082,0.8023,0.9136,0.903,0.8056,0.799,1.79,2.73
27,8161.9,0.009089,0.009547,0.9079,0.8043,0.9131,0.9027,0.8093,0.7993,1.76,2.74
28,8464.3,0.009068,0.009553,0.9072,0.8049,0.9113,0.9032,0.8116,0.7983,1.77,2.75
29,8766.5,0.009047,0.009614,0.9068,0.8031,0.9116,0.9021,0.8102,0.7961,1.74,2.75
30,9068.9,0.009027,0.009617,0.9062,0.8017,0.9098,0.9027,0.8073,0.7962,1.74,2.75
31,9371.2,0.009005,0.009658,0.9071,0.8022,0.9128,0.9015,0.8084,0.7961,1.75,2.77
32,9673.5,0.008983,0.009647,0.9067,0.8019,0.9114,0.9021,0.8064,0.7975,1.77,2.74
33,9975.9,0.008959,0.009693,0.9061,0.8013,0.9099,0.9024,0.809,0.7938,1.77,2.74
