epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,159.6,0.014552,0.009101,0.9622,0.7805,0.9628,0.9617,0.7845,0.7766,1.29,3.27
2,319.0,0.009008,0.008992,0.9661,0.7849,0.9666,0.9655,0.788,0.7818,1.25,3.23
3,481.3,0.008915,0.008912,0.969,0.7879,0.9697,0.9684,0.7923,0.7835,1.26,3.2
4,642.2,0.008862,0.008892,0.9695,0.7911,0.9703,0.9686,0.7979,0.7843,1.21,3.18
5,801.2,0.008824,0.008886,0.9703,0.7899,0.9713,0.9694,0.7949,0.7849,1.34,3.17
6,960.4,0.008796,0.008859,0.9695,0.7915,0.9701,0.969,0.7946,0.7885,1.2,3.16
7,1119.5,0.00877,0.008834,0.9706,0.7911,0.9712,0.9699,0.794,0.7883,1.22,3.19
8,1278.7,0.008748,0.008815,0.9722,0.7935,0.9725,0.9719,0.7971,0.7899,1.24,3.15
9,1436.5,0.008727,0.008837,0.9715,0.7914,0.9723,0.9707,0.7969,0.7859,1.21,3.15
10,1595.1,0.00871,0.008797,0.9727,0.7938,0.9733,0.9721,0.7983,0.7892,1.2,3.16
11,1752.0,0.00869,0.008807,0.9716,0.7919,0.9722,0.971,0.7958,0.7879,1.22,3.14
12,1908.9,0.008673,0.008814,0.9719,0.7932,0.9724,0.9714,0.7973,0.7892,1.22,3.17
13,2065.8,0.008655,0.008826,0.9714,0.7931,0.9719,0.9709,0.7963,0.7899,1.22,3.15
14,2223.5,0.008638,0.008804,0.972,0.7931,0.9723,0.9717,0.7969,0.7894,1.21,3.17
15,2380.1,0.008619,0.008806,0.9721,0.7943,0.9723,0.9719,0.7982,0.7904,1.21,3.18
16,2537.0,0.0086,0.008834,0.9705,0.7931,0.9713,0.9697,0.7961,0.7901,1.2,3.15
17,2693.9,0.00858,0.008845,0.9698,0.7944,0.9704,0.9693,0.7986,0.7903,1.18,3.18
18,2850.7,0.008561,0.008852,0.9699,0.7932,0.9703,0.9695,0.7971,0.7893,1.16,3.16
19,3007.4,0.008539,0.008857,0.9715,0.7937,0.972,0.971,0.7976,0.7898,1.23,3.12
20,3164.3,0.008519,0.008852,0.9709,0.7935,0.9714,0.9705,0.796,0.7911,1.19,3.2
21,3321.4,0.008494,0.008875,0.9713,0.7942,0.9718,0.9709,0.798,0.7904,1.22,3.17
22,3480.9,0.008471,0.008901,0.9715,0.7923,0.9719,0.9711,0.7952,0.7894,1.2,3.15
23,3640.2,0.008446,0.008932,0.9709,0.7932,0.9714,0.9703,0.7963,0.7901,1.21,3.18
24,3799.5,0.00842,0.00892,0.9704,0.7931,0.971,0.9699,0.7963,0.7899,1.19,3.17
25,3959.8,0.008393,0.00898,0.9697,0.7913,0.97,0.9693,0.7949,0.7877,1.17,3.17
