epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,157.2,0.014251,0.009111,0.9648,0.7826,0.9661,0.9634,0.7943,0.7712,1.35,3.26
2,314.2,0.008965,0.008933,0.97,0.7877,0.9712,0.9689,0.7924,0.783,1.29,3.23
3,471.2,0.008869,0.008891,0.9697,0.7901,0.9702,0.9692,0.7956,0.7847,1.26,3.23
4,628.4,0.008815,0.008845,0.9711,0.791,0.9714,0.9708,0.7972,0.7849,1.2,3.16
5,785.4,0.008781,0.008814,0.9722,0.7915,0.9725,0.9719,0.7956,0.7873,1.21,3.15
6,942.4,0.008751,0.008811,0.9719,0.793,0.9722,0.9716,0.7978,0.7882,1.22,3.15
7,1099.6,0.008727,0.008817,0.972,0.7933,0.9724,0.9716,0.8001,0.7867,1.23,3.14
8,1256.6,0.008704,0.008797,0.9736,0.7948,0.9738,0.9735,0.7979,0.7917,1.25,3.19
9,1413.6,0.008684,0.008777,0.9738,0.7949,0.9742,0.9733,0.7988,0.791,1.23,3.14
10,1570.6,0.008665,0.00877,0.9735,0.7954,0.9737,0.9732,0.7993,0.7915,1.21,3.14
11,1727.6,0.008645,0.00876,0.9747,0.7946,0.9751,0.9744,0.7977,0.7916,1.22,3.15
12,1884.6,0.008628,0.008747,0.9746,0.7971,0.9748,0.9744,0.8001,0.7942,1.21,3.15
13,2041.4,0.008609,0.00876,0.9734,0.7959,0.9735,0.9733,0.8,0.7918,1.2,3.15
14,2198.4,0.008593,0.008749,0.9741,0.797,0.9744,0.9737,0.8008,0.7933,1.18,3.13
15,2355.3,0.008575,0.008757,0.974,0.7971,0.9741,0.9739,0.7995,0.7949,1.18,3.14
16,2512.3,0.008557,0.008756,0.9743,0.7963,0.9747,0.9739,0.7984,0.7942,1.18,3.16
17,2669.3,0.008539,0.008786,0.9729,0.7959,0.9733,0.9725,0.7996,0.7922,1.2,3.14
18,2826.4,0.008521,0.008786,0.9737,0.7965,0.9739,0.9735,0.7996,0.7934,1.2,3.14
19,2983.3,0.008501,0.008774,0.9744,0.7951,0.9746,0.9743,0.7973,0.793,1.22,3.14
20,3140.3,0.008483,0.008805,0.9741,0.7964,0.9745,0.9736,0.7996,0.7931,1.2,3.15
21,3297.2,0.008462,0.0088,0.9747,0.7956,0.9749,0.9745,0.7986,0.7926,1.2,3.13
22,3454.2,0.008438,0.008841,0.9742,0.7948,0.9744,0.9739,0.7978,0.7919,1.23,3.2
23,3611.1,0.008415,0.008844,0.9741,0.794,0.9744,0.9737,0.798,0.79,1.2,3.14
24,3768.2,0.00839,0.008861,0.9742,0.793,0.9742,0.9743,0.7963,0.7897,1.21,3.16
25,3925.2,0.008365,0.008885,0.9744,0.794,0.9746,0.9741,0.797,0.7909,1.21,3.17
26,4082.2,0.008338,0.008894,0.9737,0.792,0.9737,0.9738,0.795,0.7891,1.21,3.13
27,4239.2,0.008311,0.008958,0.9725,0.7901,0.9729,0.9722,0.794,0.7864,1.18,3.15
