epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,302.2,0.015546,0.010214,0.8873,0.7822,0.9034,0.8718,0.7961,0.7688,2.14,2.92
2,604.7,0.01002,0.009978,0.8945,0.7907,0.9002,0.8889,0.7982,0.7834,2.12,2.9
3,907.0,0.009853,0.009854,0.8969,0.7937,0.9009,0.8929,0.8018,0.7856,1.96,2.88
4,1209.3,0.009756,0.009792,0.8986,0.7944,0.906,0.8913,0.8089,0.7805,1.95,2.87
5,1511.5,0.009686,0.009761,0.8983,0.7961,0.9015,0.8952,0.8051,0.7873,1.92,2.83
6,1813.8,0.009636,0.009694,0.9013,0.7964,0.9068,0.8959,0.8041,0.7887,1.9,2.81
7,2116.2,0.009595,0.009673,0.9028,0.7989,0.9109,0.8947,0.8059,0.792,1.87,2.85
8,2418.6,0.009562,0.009643,0.9024,0.7993,0.9083,0.8965,0.8067,0.7919,1.9,2.82
9,2721.1,0.00953,0.009662,0.9024,0.8005,0.9106,0.8943,0.8119,0.7894,1.87,2.82
10,3023.6,0.009504,0.009639,0.9026,0.8021,0.9087,0.8967,0.8091,0.7953,1.87,2.82
11,3325.9,0.009476,0.00961,0.904,0.8016,0.9103,0.8979,0.8085,0.7948,1.9,2.81
12,3628.3,0.009452,0.00964,0.9019,0.8003,0.9098,0.8941,0.8049,0.7957,1.88,2.81
13,3930.9,0.009429,0.009606,0.9023,0.8015,0.9088,0.8958,0.8055,0.7976,1.87,2.81
14,4233.5,0.009408,0.009609,0.9035,0.8017,0.9093,0.8978,0.808,0.7956,1.88,2.81
15,4536.1,0.009388,0.009618,0.9011,0.8009,0.9077,0.8947,0.8053,0.7966,1.87,2.84
16,4838.6,0.009367,0.009584,0.9039,0.8017,0.909,0.8989,0.8053,0.7981,1.87,2.82
17,5141.3,0.009348,0.009602,0.9026,0.8017,0.9084,0.8969,0.8074,0.796,1.84,2.8
18,5444.0,0.009327,0.009573,0.9045,0.8026,0.9095,0.8996,0.8082,0.7971,1.89,2.82
19,5746.4,0.009307,0.00964,0.9029,0.8009,0.9088,0.8971,0.8043,0.7975,1.88,2.84
20,6049.0,0.009287,0.009616,0.9044,0.8024,0.9108,0.8982,0.8091,0.7957,1.89,2.81
21,6351.8,0.009265,0.009588,0.9037,0.802,0.9073,0.9002,0.8078,0.7963,1.84,2.79
22,6654.5,0.009245,0.009669,0.9024,0.8017,0.9073,0.8975,0.8067,0.7968,1.86,2.82
23,6957.1,0.009225,0.009637,0.9047,0.7994,0.912,0.8976,0.8035,0.7953,1.83,2.81
24,7259.8,0.009204,0.009697,0.9026,0.7992,0.9099,0.8954,0.8029,0.7954,1.84,2.81
25,7562.5,0.009183,0.009655,0.9027,0.8011,0.9091,0.8965,0.8058,0.7966,1.85,2.8
26,7865.1,0.00916,0.009668,0.9011,0.8013,0.9056,0.8966,0.8041,0.7986,1.85,2.79
27,8167.6,0.009139,0.00966,0.9039,0.8001,0.9103,0.8976,0.8041,0.7961,1.86,2.79
28,8470.4,0.009116,0.009694,0.9035,0.8004,0.9075,0.8996,0.8049,0.7958,1.83,2.79
29,8773.0,0.009093,0.009735,0.9026,0.8009,0.9076,0.8976,0.8071,0.7948,1.83,2.82
30,9075.8,0.009072,0.009726,0.9028,0.8007,0.9077,0.898,0.8061,0.7953,1.83,2.82
31,9378.3,0.009048,0.009765,0.9016,0.7972,0.9077,0.8957,0.8019,0.7925,1.87,2.8
32,9681.0,0.009026,0.009775,0.8986,0.7979,0.9032,0.8941,0.8011,0.7947,1.83,2.8
33,9983.7,0.009002,0.009794,0.9027,0.7971,0.9073,0.8982,0.8033,0.791,1.82,2.8
