epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,212.4,0.014772,0.009328,0.9467,0.7933,0.9524,0.9411,0.8025,0.7842,1.38,2.85
2,422.1,0.009225,0.009173,0.951,0.7979,0.9528,0.9493,0.8035,0.7923,1.34,2.81
3,630.3,0.009089,0.009094,0.9528,0.8,0.9561,0.9495,0.8065,0.7935,1.21,2.8
4,838.5,0.00901,0.009042,0.9555,0.7994,0.9581,0.9529,0.8057,0.7932,1.17,2.81
5,1046.6,0.008956,0.009025,0.9542,0.8031,0.9542,0.9543,0.8093,0.797,1.18,2.8
6,1254.8,0.008917,0.008958,0.9577,0.8022,0.9593,0.9561,0.807,0.7974,1.12,2.78
7,1462.4,0.008885,0.008953,0.958,0.8043,0.9605,0.9554,0.8093,0.7994,1.11,2.8
8,1671.6,0.008859,0.008914,0.9586,0.8045,0.9602,0.957,0.808,0.8009,1.1,2.8
9,1880.5,0.008835,0.008913,0.9592,0.8048,0.9607,0.9577,0.811,0.7986,1.09,2.77
10,2088.7,0.008813,0.008891,0.9596,0.8054,0.9611,0.958,0.8087,0.8021,1.07,2.77
11,2296.8,0.008791,0.008887,0.9605,0.8054,0.9623,0.9587,0.8104,0.8004,1.09,2.76
12,2504.9,0.008771,0.008907,0.9592,0.8062,0.9619,0.9564,0.8098,0.8026,1.05,2.78
13,2712.9,0.008751,0.008883,0.9586,0.8054,0.9597,0.9574,0.8084,0.8025,1.03,2.78
14,2920.9,0.00873,0.00887,0.9603,0.8055,0.9621,0.9585,0.8098,0.8012,1.0,2.77
15,3129.1,0.00871,0.00885,0.9603,0.8056,0.9614,0.9593,0.8086,0.8026,0.98,2.77
16,3337.2,0.00869,0.008847,0.96,0.8068,0.9611,0.9588,0.8102,0.8034,0.97,2.78
17,3545.3,0.008671,0.008864,0.9605,0.8067,0.9615,0.9596,0.8107,0.8028,0.91,2.75
18,3753.5,0.008649,0.008865,0.9604,0.8058,0.9615,0.9594,0.8097,0.802,0.91,2.76
19,3961.5,0.00863,0.008862,0.9602,0.8074,0.9613,0.959,0.8105,0.8043,0.87,2.79
20,4169.6,0.008609,0.008848,0.9614,0.808,0.9628,0.96,0.8113,0.8046,0.83,2.77
21,4377.6,0.008589,0.00887,0.96,0.8061,0.9609,0.9591,0.8103,0.8019,0.87,2.77
22,4585.7,0.008569,0.008885,0.9614,0.8074,0.9627,0.96,0.811,0.8038,0.84,2.77
23,4793.8,0.008546,0.008895,0.9609,0.8069,0.9623,0.9595,0.8112,0.8025,0.79,2.76
24,5001.9,0.008524,0.008888,0.9613,0.8058,0.9622,0.9603,0.8089,0.8027,0.81,2.8
25,5210.2,0.008501,0.008905,0.9612,0.8061,0.9627,0.9596,0.8104,0.8019,0.74,2.76
26,5418.2,0.008478,0.00894,0.9604,0.8073,0.9618,0.959,0.8105,0.8042,0.76,2.78
27,5626.5,0.008454,0.008933,0.9581,0.8039,0.9585,0.9578,0.8063,0.8014,0.76,2.78
28,5834.9,0.008428,0.008953,0.9604,0.8049,0.9619,0.9589,0.808,0.8018,0.73,2.77
29,6043.2,0.008403,0.008977,0.9606,0.8035,0.9617,0.9594,0.8074,0.7996,0.75,2.78
30,6251.5,0.008376,0.008985,0.96,0.8042,0.9611,0.9588,0.8084,0.8,0.77,2.78
31,6459.8,0.008349,0.009018,0.961,0.8027,0.9621,0.9598,0.8065,0.7988,0.73,2.78
