epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,161.3,0.037196,0.031162,0.0018,0.0092,0.5109,0.0009,0.3855,0.0046,2.23,4.75
2,322.5,0.027661,0.02597,0.1752,0.1668,0.4927,0.1066,0.4484,0.1024,2.02,4.9
3,483.7,0.024917,0.024524,0.2138,0.2304,0.4908,0.1367,0.4721,0.1523,1.92,4.82
4,644.9,0.023861,0.023954,0.2401,0.2572,0.5152,0.1565,0.5021,0.1728,1.85,4.79
5,806.2,0.023207,0.023574,0.2516,0.2816,0.523,0.1657,0.5,0.196,1.84,4.82
6,967.6,0.022732,0.023326,0.2519,0.288,0.5288,0.1653,0.4985,0.2025,1.81,4.78
7,1129.0,0.022358,0.023256,0.2736,0.2977,0.5021,0.188,0.4964,0.2126,1.81,4.78
8,1290.4,0.022038,0.023042,0.2721,0.3025,0.5273,0.1834,0.506,0.2158,1.83,4.81
9,1451.8,0.021764,0.023039,0.2839,0.3104,0.4965,0.1988,0.4906,0.227,1.74,4.79
10,1613.2,0.021514,0.023151,0.3021,0.313,0.4625,0.2244,0.4798,0.2322,1.78,4.82
11,1774.6,0.021288,0.023005,0.2841,0.3169,0.5197,0.1955,0.4813,0.2362,1.77,4.79
12,1936.0,0.021084,0.02305,0.2919,0.3158,0.4948,0.207,0.4769,0.236,1.75,4.8
13,2097.4,0.020894,0.023112,0.3006,0.3181,0.48,0.2188,0.4871,0.2362,1.75,4.75
14,2258.7,0.020718,0.023136,0.2963,0.3207,0.4852,0.2133,0.4672,0.2442,1.73,4.75
15,2420.0,0.020545,0.023163,0.2973,0.3251,0.5002,0.2115,0.4788,0.246,1.74,4.71
16,2581.4,0.020387,0.023284,0.2989,0.3207,0.4709,0.2189,0.4637,0.2451,1.73,4.83
17,2742.9,0.020241,0.02325,0.3032,0.3189,0.4748,0.2227,0.4627,0.2433,1.71,4.81
18,2904.3,0.020096,0.023337,0.3043,0.3212,0.4612,0.2271,0.4682,0.2445,1.74,4.79
19,3065.7,0.019964,0.023457,0.3105,0.3204,0.4569,0.2351,0.4553,0.2472,1.72,4.81
20,3227.2,0.019834,0.023541,0.3043,0.3221,0.4624,0.2268,0.4575,0.2486,1.71,4.75
21,3388.6,0.019711,0.023731,0.3075,0.3203,0.4429,0.2355,0.4515,0.2482,1.71,4.75
22,3550.0,0.019593,0.023686,0.3084,0.3214,0.4512,0.2343,0.4543,0.2486,1.72,4.75
23,3711.1,0.019484,0.023846,0.3132,0.3188,0.4339,0.2451,0.4396,0.2501,1.7,4.81
24,3872.4,0.019373,0.023888,0.306,0.3224,0.4458,0.233,0.4499,0.2512,1.72,4.77
25,4033.7,0.019273,0.023983,0.3075,0.3176,0.4485,0.2339,0.4441,0.2471,1.71,4.8
26,4195.1,0.01917,0.02408,0.3107,0.3192,0.4444,0.2388,0.4448,0.249,1.7,4.82
