epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,306.4,0.01424,0.009032,0.9688,0.7857,0.9699,0.9676,0.7916,0.7798,0.91,3.15
2,612.6,0.008941,0.008889,0.9747,0.7884,0.9756,0.9738,0.7919,0.7849,0.86,3.09
3,918.7,0.008853,0.008845,0.9731,0.7907,0.9737,0.9725,0.7952,0.7863,0.77,3.07
4,1224.9,0.008801,0.008815,0.9752,0.7905,0.9757,0.9746,0.794,0.787,0.74,3.06
5,1530.9,0.008767,0.008788,0.9755,0.7924,0.9756,0.9754,0.7953,0.7896,0.79,3.07
6,1837.1,0.008739,0.008766,0.9764,0.7921,0.9766,0.9762,0.796,0.7881,0.73,3.03
7,2143.3,0.008715,0.008764,0.9759,0.7931,0.976,0.9757,0.7978,0.7884,0.73,3.01
8,2449.7,0.008694,0.008756,0.9772,0.7946,0.9774,0.977,0.7983,0.7909,0.73,3.04
9,2756.0,0.008673,0.008741,0.9763,0.7956,0.9769,0.9756,0.7993,0.7919,0.69,3.01
10,3062.3,0.008655,0.008738,0.9759,0.7949,0.9761,0.9757,0.7985,0.7913,0.71,3.01
11,3368.8,0.008639,0.008719,0.9768,0.7941,0.9772,0.9764,0.7981,0.79,0.69,2.99
12,3675.1,0.008622,0.008703,0.9767,0.7956,0.9772,0.9763,0.799,0.7923,0.66,3.0
13,3981.7,0.008606,0.008709,0.9768,0.7965,0.9771,0.9765,0.8007,0.7922,0.73,3.01
14,4288.0,0.008591,0.008713,0.9767,0.7962,0.9768,0.9767,0.7992,0.7933,0.67,3.0
15,4594.3,0.008576,0.00871,0.9762,0.797,0.9766,0.9759,0.7999,0.7942,0.68,3.02
16,4900.6,0.008561,0.008711,0.9767,0.7966,0.9769,0.9764,0.7994,0.7937,0.67,3.02
17,5207.0,0.008545,0.008717,0.9765,0.7965,0.977,0.9759,0.7995,0.7936,0.66,3.03
18,5513.4,0.00853,0.008726,0.9758,0.7963,0.9762,0.9754,0.7999,0.7927,0.65,2.99
19,5819.9,0.008514,0.008716,0.9775,0.7956,0.9778,0.9772,0.7979,0.7933,0.72,2.99
20,6126.2,0.008498,0.008731,0.9763,0.7974,0.9765,0.9761,0.8002,0.7947,0.68,3.02
21,6432.5,0.00848,0.008723,0.9768,0.7961,0.9769,0.9767,0.799,0.7932,0.66,3.0
22,6738.9,0.008461,0.008756,0.9773,0.7952,0.9778,0.9769,0.798,0.7924,0.68,3.04
23,7045.3,0.008441,0.008749,0.9766,0.7962,0.977,0.9761,0.7994,0.793,0.66,3.0
24,7351.8,0.008421,0.008754,0.977,0.795,0.9772,0.9768,0.7984,0.7916,0.66,3.0
25,7658.2,0.008399,0.008785,0.9763,0.7946,0.9768,0.9758,0.7978,0.7915,0.67,2.99
26,7964.8,0.008375,0.00881,0.9762,0.7936,0.9765,0.976,0.7969,0.7904,0.66,2.99
27,8271.2,0.008351,0.008801,0.9763,0.7936,0.9769,0.9757,0.7969,0.7903,0.67,3.0
