epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,132.1,0.019156,0.013325,0.7916,0.5063,0.8069,0.7768,0.5484,0.4701,3.51,4.82
2,264.2,0.013134,0.01302,0.7997,0.5147,0.8128,0.7869,0.549,0.4844,3.51,4.79
3,396.3,0.012911,0.012879,0.8039,0.522,0.8173,0.7909,0.5598,0.4891,3.48,4.79
4,528.3,0.012775,0.012785,0.8087,0.5289,0.8221,0.7957,0.5648,0.4973,3.49,4.78
5,660.3,0.012676,0.012741,0.8106,0.5283,0.8239,0.7977,0.5693,0.4929,3.49,4.77
6,792.4,0.012595,0.012677,0.8134,0.5328,0.8255,0.8017,0.5749,0.4964,3.48,4.75
7,924.5,0.01253,0.012642,0.8126,0.5364,0.8244,0.8011,0.5763,0.5016,3.52,4.73
8,1056.6,0.012468,0.012671,0.8148,0.5261,0.829,0.8012,0.5617,0.4948,3.55,4.8
9,1188.7,0.01241,0.012607,0.8135,0.5354,0.8222,0.8051,0.5667,0.5073,3.54,4.76
10,1320.8,0.012352,0.012575,0.8174,0.5364,0.8307,0.8045,0.5737,0.5037,3.49,4.73
11,1453.1,0.012296,0.012573,0.8147,0.5364,0.8225,0.8071,0.5718,0.5051,3.51,4.74
12,1585.3,0.012241,0.012569,0.8154,0.5374,0.8256,0.8055,0.5714,0.5071,3.48,4.75
13,1717.5,0.012185,0.012588,0.8166,0.5375,0.8248,0.8085,0.5715,0.5073,3.52,4.74
14,1849.6,0.012129,0.012582,0.8151,0.5383,0.8257,0.8047,0.5683,0.5113,3.49,4.75
15,1981.8,0.012069,0.012663,0.8135,0.5384,0.8226,0.8046,0.5721,0.5085,3.5,4.73
16,2114.1,0.01201,0.012604,0.814,0.537,0.8238,0.8044,0.5692,0.5081,3.49,4.75
17,2246.4,0.011955,0.012667,0.814,0.5392,0.8226,0.8056,0.5725,0.5095,3.51,4.73
18,2378.5,0.011888,0.012707,0.8142,0.5389,0.8212,0.8073,0.57,0.5109,3.53,4.72
19,2510.9,0.011829,0.012716,0.8134,0.537,0.8207,0.8062,0.5684,0.5088,3.51,4.75
20,2643.1,0.011765,0.0128,0.8109,0.5343,0.8178,0.8042,0.5654,0.5064,3.51,4.75
21,2775.4,0.011697,0.012829,0.8117,0.5369,0.8191,0.8044,0.5661,0.5105,3.53,4.75
22,2907.6,0.011637,0.012893,0.8106,0.5363,0.8181,0.8032,0.5673,0.5085,3.52,4.75
23,3039.8,0.011573,0.012945,0.8046,0.5368,0.811,0.7984,0.5674,0.5093,3.5,4.75
24,3172.2,0.01151,0.012994,0.8075,0.5369,0.8121,0.803,0.5644,0.512,3.53,4.73
25,3304.4,0.011447,0.013004,0.8064,0.5368,0.8141,0.7988,0.5685,0.5084,3.53,4.73
26,3436.5,0.011382,0.013157,0.8026,0.5357,0.8066,0.7986,0.5696,0.5057,3.5,4.74
27,3568.7,0.011324,0.013138,0.8029,0.5343,0.8067,0.7991,0.5641,0.5074,3.53,4.73
