epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,43.6,0.051053,0.017156,0.7069,0.5332,0.7821,0.6449,0.5792,0.4939,3.18,4.27
2,87.0,0.016556,0.016277,0.7223,0.5466,0.7787,0.6735,0.575,0.5208,3.12,4.27
3,130.5,0.015996,0.015719,0.7339,0.5545,0.8036,0.6753,0.6066,0.5106,3.11,4.01
4,173.9,0.015696,0.015703,0.7348,0.557,0.7875,0.6886,0.6193,0.5062,3.07,4.1
5,217.4,0.01548,0.015777,0.741,0.5556,0.8054,0.6861,0.5766,0.5361,3.09,4.03
6,260.8,0.015327,0.015388,0.7398,0.5621,0.8003,0.6878,0.6098,0.5212,3.06,4.01
7,304.4,0.0152,0.015303,0.746,0.5614,0.806,0.6943,0.6774,0.4794,3.06,4.0
8,348.1,0.015087,0.015194,0.7463,0.572,0.8063,0.6947,0.6384,0.5181,3.07,4.02
9,392.3,0.014991,0.015234,0.742,0.5689,0.8077,0.6863,0.6181,0.527,3.08,4.11
10,436.2,0.014904,0.015103,0.7473,0.5701,0.809,0.6944,0.6516,0.5068,3.0,4.08
11,480.3,0.014821,0.015119,0.7479,0.5734,0.7987,0.7032,0.6122,0.5392,3.08,4.05
12,525.1,0.014748,0.01503,0.7452,0.5735,0.8008,0.6969,0.6243,0.5304,3.01,4.02
13,568.8,0.014679,0.015003,0.751,0.5714,0.805,0.7039,0.6245,0.5266,3.08,4.02
14,612.3,0.014607,0.015045,0.7477,0.5675,0.8019,0.7004,0.6239,0.5205,3.01,3.96
15,655.9,0.014541,0.014938,0.749,0.5714,0.7995,0.7046,0.6352,0.5193,3.02,4.09
16,699.5,0.014476,0.015012,0.7493,0.5676,0.8055,0.7005,0.627,0.5186,3.04,3.96
17,743.0,0.014409,0.0151,0.7455,0.5697,0.7924,0.7038,0.6449,0.5102,3.04,4.08
18,786.5,0.01434,0.014995,0.7468,0.5747,0.7934,0.7053,0.6488,0.5157,3.04,4.04
19,830.1,0.014272,0.01504,0.7465,0.5705,0.7976,0.7015,0.6084,0.5371,3.03,4.07
20,873.7,0.0142,0.015108,0.7465,0.5747,0.7953,0.7033,0.6449,0.5182,3.03,4.06
21,917.3,0.014108,0.015183,0.7447,0.5728,0.7959,0.6996,0.6142,0.5366,3.03,4.07
22,960.8,0.014042,0.015132,0.7471,0.5707,0.8025,0.6989,0.6268,0.5238,3.05,4.02
23,1004.5,0.013956,0.015227,0.7431,0.568,0.7861,0.7046,0.6038,0.5362,3.05,4.05
24,1048.1,0.013876,0.015252,0.7447,0.5673,0.7877,0.7062,0.6016,0.5367,3.04,4.06
25,1091.7,0.013781,0.015295,0.7407,0.5703,0.7853,0.701,0.5924,0.5498,3.03,4.04
26,1135.3,0.013682,0.015496,0.7404,0.5713,0.7841,0.7013,0.6207,0.5291,3.04,4.13
27,1178.9,0.013596,0.015472,0.7414,0.5602,0.781,0.7056,0.5647,0.5557,3.06,4.08
28,1222.5,0.013485,0.015533,0.7422,0.564,0.7886,0.701,0.5964,0.5349,3.03,4.09
29,1266.1,0.013366,0.015676,0.7385,0.5681,0.7772,0.7035,0.6092,0.5321,3.04,4.04
30,1309.6,0.01326,0.015769,0.7385,0.5651,0.7748,0.7055,0.6216,0.518,3.05,4.02
