epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,137.1,0.015116,0.010194,0.9245,0.7051,0.9347,0.9144,0.714,0.6965,1.97,4.13
2,273.5,0.010041,0.009972,0.9281,0.7146,0.9309,0.9253,0.7263,0.7033,1.89,4.08
3,410.6,0.009905,0.009908,0.9293,0.7192,0.9319,0.9268,0.7306,0.7082,1.9,4.07
4,547.0,0.009825,0.009874,0.9308,0.7194,0.9322,0.9294,0.7296,0.7095,1.89,4.05
5,683.7,0.009768,0.009821,0.9344,0.7231,0.9367,0.932,0.7328,0.7136,1.91,4.04
6,820.7,0.009721,0.009807,0.9349,0.7209,0.9372,0.9327,0.7302,0.7119,1.93,4.01
7,957.7,0.009681,0.009776,0.9364,0.7225,0.939,0.9339,0.7305,0.7147,1.9,4.05
8,1095.5,0.009644,0.009745,0.9366,0.7251,0.9379,0.9354,0.7344,0.716,1.89,4.02
9,1232.4,0.009611,0.009757,0.9363,0.7249,0.9381,0.9345,0.7333,0.7166,1.9,4.07
10,1369.8,0.009577,0.009719,0.9369,0.7263,0.9381,0.9356,0.7354,0.7174,1.89,4.02
11,1507.5,0.009548,0.009747,0.9376,0.727,0.9394,0.9357,0.736,0.7183,1.9,4.02
12,1644.4,0.009515,0.009729,0.9371,0.7264,0.9379,0.9362,0.7358,0.7172,1.89,4.01
13,1781.2,0.009484,0.009717,0.9381,0.7276,0.9393,0.937,0.7371,0.7184,1.9,4.0
14,1919.1,0.009453,0.009748,0.937,0.7264,0.938,0.9361,0.7342,0.7188,1.91,3.98
15,2056.9,0.00942,0.009745,0.9373,0.726,0.9385,0.9362,0.7344,0.7179,1.89,4.0
16,2194.2,0.009385,0.009767,0.9361,0.7256,0.9373,0.935,0.7358,0.7157,1.88,3.99
17,2331.5,0.00935,0.009789,0.9355,0.7251,0.9365,0.9345,0.7326,0.7177,1.88,4.02
18,2469.4,0.009313,0.009848,0.9355,0.7251,0.9365,0.9346,0.7327,0.7178,1.88,3.99
19,2606.3,0.009278,0.009818,0.9364,0.7229,0.9374,0.9354,0.7304,0.7155,1.87,4.0
20,2743.2,0.009238,0.009857,0.9363,0.7247,0.9372,0.9353,0.7308,0.7186,1.9,4.0
21,2880.0,0.009198,0.009901,0.9349,0.7241,0.9354,0.9344,0.7311,0.7173,1.9,4.02
22,3017.6,0.009159,0.009954,0.9345,0.7228,0.9352,0.9338,0.7292,0.7165,1.89,4.04
23,3155.3,0.009118,0.009936,0.9339,0.7227,0.9346,0.9333,0.729,0.7165,1.87,4.01
24,3292.9,0.009077,0.01,0.9342,0.7219,0.9347,0.9336,0.7289,0.715,1.91,4.01
25,3429.2,0.009038,0.010062,0.9324,0.7212,0.9331,0.9317,0.7286,0.7139,1.9,4.03
26,3566.7,0.008997,0.010081,0.9328,0.7197,0.934,0.9316,0.7247,0.7148,1.88,4.0
27,3703.2,0.008958,0.010167,0.9314,0.7191,0.932,0.9308,0.7254,0.713,1.89,4.0
28,3839.8,0.00892,0.010186,0.932,0.7187,0.9327,0.9314,0.7247,0.7128,1.89,4.03
