epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,43.7,0.051331,0.017965,0.7015,0.3206,0.7682,0.6454,0.8062,0.2001,3.24,4.02
2,87.3,0.017036,0.016873,0.7215,0.3129,0.8101,0.6504,0.3277,0.2993,3.1,5.47
3,130.9,0.016077,0.015894,0.7305,0.551,0.7975,0.6739,0.5809,0.5239,3.09,4.19
4,174.6,0.015715,0.01557,0.7348,0.561,0.7936,0.6841,0.6303,0.5054,3.15,4.06
5,218.4,0.015493,0.015453,0.7366,0.561,0.796,0.6855,0.5878,0.5366,3.04,4.18
6,262.2,0.015313,0.01547,0.7411,0.5615,0.7889,0.6988,0.6255,0.5093,3.07,4.02
7,305.9,0.01518,0.015174,0.7399,0.565,0.7981,0.6896,0.6168,0.5212,3.06,3.96
8,349.7,0.015057,0.015234,0.7443,0.5619,0.8086,0.6895,0.6161,0.5165,3.0,4.08
9,393.4,0.014969,0.0152,0.7463,0.5548,0.8016,0.6981,0.6573,0.4799,3.11,4.12
10,437.2,0.014872,0.015076,0.7513,0.5665,0.8098,0.7007,0.6549,0.4991,3.05,4.0
11,480.9,0.014793,0.015204,0.7462,0.5605,0.8044,0.6958,0.6738,0.4798,3.04,4.01
12,524.7,0.014719,0.015049,0.746,0.5673,0.792,0.705,0.6442,0.5068,3.06,3.95
13,568.5,0.014642,0.015006,0.7449,0.5686,0.793,0.7024,0.6115,0.5313,3.02,4.09
14,612.3,0.014577,0.015178,0.7474,0.5659,0.8098,0.6939,0.6378,0.5085,3.06,4.1
15,656.1,0.014506,0.014992,0.7507,0.564,0.7998,0.7073,0.5842,0.5452,3.07,3.98
16,700.0,0.014438,0.014956,0.7478,0.5727,0.7942,0.7066,0.6326,0.5232,3.05,4.02
17,743.7,0.014362,0.015012,0.7433,0.567,0.7918,0.7004,0.596,0.5408,3.02,4.02
18,787.5,0.014288,0.015044,0.7441,0.568,0.7953,0.6992,0.6607,0.4981,3.03,4.07
19,831.2,0.014226,0.015003,0.7466,0.5665,0.786,0.7109,0.6487,0.5028,3.02,3.97
20,875.0,0.014137,0.015156,0.7465,0.5684,0.7935,0.7048,0.6274,0.5194,3.1,4.03
21,918.8,0.014067,0.015063,0.7443,0.5706,0.7883,0.7049,0.6142,0.5327,2.98,4.03
22,962.5,0.013981,0.015097,0.7443,0.5678,0.7928,0.7015,0.61,0.5311,3.0,4.0
23,1006.3,0.013897,0.01514,0.7456,0.5653,0.7853,0.7097,0.6039,0.5314,3.01,4.0
24,1050.0,0.013811,0.015272,0.7454,0.5648,0.7901,0.7054,0.6256,0.5147,3.06,4.01
25,1093.8,0.013715,0.01536,0.7413,0.5651,0.784,0.703,0.6168,0.5214,3.01,4.05
26,1137.6,0.013623,0.015344,0.7412,0.5616,0.7795,0.7065,0.6273,0.5083,3.03,3.97
27,1181.4,0.013522,0.015424,0.7435,0.5615,0.7887,0.7032,0.59,0.5356,3.01,4.0
28,1225.1,0.013417,0.015492,0.7395,0.5616,0.7763,0.706,0.5799,0.5444,3.04,4.05
29,1268.9,0.013316,0.015692,0.7366,0.5626,0.7715,0.7048,0.5958,0.533,3.04,4.06
30,1312.8,0.013205,0.015737,0.7395,0.562,0.7846,0.6993,0.573,0.5515,3.06,4.05
31,1356.6,0.01309,0.015853,0.7415,0.5628,0.7861,0.7017,0.5984,0.5312,3.04,4.0
