epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,208.2,0.014069,0.009314,0.9475,0.7928,0.952,0.943,0.7983,0.7873,1.37,2.91
2,416.3,0.009209,0.009205,0.9475,0.7985,0.9455,0.9495,0.8037,0.7934,1.23,2.83
3,624.3,0.009092,0.009127,0.951,0.7995,0.9544,0.9477,0.8054,0.7937,1.2,2.81
4,832.4,0.009027,0.009044,0.9556,0.8004,0.9585,0.9526,0.8038,0.7969,1.12,2.83
5,1040.4,0.00898,0.009006,0.9564,0.8012,0.9583,0.9544,0.8043,0.7982,1.09,2.82
6,1248.5,0.008944,0.008998,0.9566,0.8027,0.9594,0.9538,0.8083,0.7972,1.07,2.78
7,1456.7,0.008912,0.008965,0.9557,0.8034,0.9574,0.9539,0.8074,0.7994,1.06,2.83
8,1664.7,0.008882,0.008933,0.9586,0.8042,0.9605,0.9567,0.8078,0.8006,1.06,2.82
9,1872.8,0.008854,0.008937,0.9589,0.8045,0.9618,0.956,0.8104,0.7988,1.04,2.81
10,2080.9,0.008829,0.008918,0.9584,0.8045,0.9598,0.957,0.8077,0.8013,1.02,2.78
11,2289.0,0.008806,0.008923,0.9579,0.8045,0.9594,0.9563,0.8084,0.8005,1.03,2.83
12,2497.1,0.008785,0.008892,0.9586,0.8055,0.9601,0.9572,0.8088,0.8023,1.0,2.79
13,2705.3,0.008765,0.008895,0.9584,0.805,0.9594,0.9575,0.8089,0.8012,0.99,2.78
14,2913.5,0.008745,0.008884,0.959,0.8066,0.9611,0.9569,0.8109,0.8024,0.95,2.78
15,3121.7,0.008724,0.00889,0.9589,0.8065,0.9604,0.9574,0.8086,0.8044,1.0,2.8
16,3330.0,0.008704,0.008886,0.9593,0.8068,0.9613,0.9574,0.8113,0.8023,0.95,2.8
17,3538.3,0.008683,0.008888,0.9588,0.8053,0.9599,0.9577,0.8071,0.8036,0.9,2.82
18,3746.5,0.00866,0.008889,0.9584,0.8075,0.9597,0.9571,0.8117,0.8032,0.83,2.78
19,3954.8,0.008638,0.008866,0.9592,0.807,0.9605,0.9579,0.8109,0.8032,0.77,2.77
20,4163.2,0.008615,0.008867,0.9592,0.8065,0.9597,0.9588,0.8088,0.8042,0.78,2.78
21,4371.6,0.008593,0.008879,0.9596,0.8076,0.9604,0.9589,0.8119,0.8034,0.78,2.79
22,4580.0,0.008571,0.008876,0.9598,0.8061,0.9603,0.9593,0.8087,0.8034,0.73,2.79
23,4788.4,0.008549,0.008891,0.9597,0.808,0.9612,0.9583,0.8126,0.8033,0.69,2.8
24,4996.9,0.008526,0.008898,0.9604,0.807,0.9616,0.9592,0.8104,0.8037,0.75,2.78
25,5205.4,0.008503,0.008923,0.9595,0.8066,0.9609,0.9581,0.8111,0.8022,0.72,2.8
26,5414.0,0.008479,0.008933,0.9603,0.8055,0.9623,0.9583,0.8082,0.8029,0.72,2.81
27,5622.6,0.008454,0.008935,0.9608,0.8067,0.9623,0.9593,0.8089,0.8045,0.71,2.81
28,5831.0,0.008428,0.008987,0.9612,0.8062,0.9633,0.9592,0.8114,0.8011,0.7,2.8
29,6039.5,0.008399,0.008993,0.961,0.8045,0.9619,0.9602,0.8093,0.7997,0.69,2.81
30,6247.9,0.008364,0.008977,0.9638,0.8049,0.9646,0.963,0.8073,0.8024,0.69,2.8
31,6456.3,0.008317,0.008958,0.9695,0.8029,0.9713,0.9677,0.8059,0.8,0.71,2.8
32,6664.9,0.008267,0.008957,0.9719,0.8018,0.9728,0.9711,0.8064,0.7973,0.66,2.8
33,6873.3,0.008222,0.008981,0.9725,0.8022,0.9738,0.9712,0.8061,0.7983,0.65,2.79
34,7081.8,0.008189,0.008973,0.9738,0.8031,0.9751,0.9724,0.806,0.8001,0.63,2.81
