epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,123.7,0.021707,0.008899,0.97,0.7913,0.9699,0.9701,0.7963,0.7864,0.63,2.88
2,247.0,0.008764,0.008784,0.9762,0.7931,0.9769,0.9756,0.7987,0.7876,0.57,2.84
3,370.2,0.00868,0.008699,0.9754,0.7976,0.9757,0.975,0.8034,0.792,0.57,2.82
4,493.3,0.008632,0.008679,0.9776,0.7989,0.9781,0.9772,0.8034,0.7945,0.55,2.8
5,616.3,0.008599,0.008627,0.9783,0.8011,0.9786,0.978,0.8067,0.7956,0.54,2.81
6,739.7,0.008573,0.008649,0.9782,0.8001,0.978,0.9783,0.8079,0.7925,0.54,2.79
7,863.3,0.008551,0.008624,0.9785,0.8013,0.9789,0.9782,0.805,0.7976,0.53,2.81
8,986.9,0.008532,0.008612,0.9788,0.8013,0.979,0.9786,0.8068,0.7959,0.55,2.79
9,1110.4,0.008514,0.008603,0.9792,0.802,0.9797,0.9786,0.8061,0.7981,0.53,2.79
10,1232.1,0.008499,0.008599,0.9801,0.802,0.9805,0.9798,0.8059,0.7982,0.56,2.79
11,1348.6,0.008485,0.008598,0.98,0.8017,0.9803,0.9797,0.8062,0.7973,0.54,2.8
12,1465.5,0.008471,0.008593,0.9798,0.8012,0.9802,0.9794,0.8052,0.7972,0.53,2.8
13,1581.5,0.008458,0.008595,0.9795,0.8034,0.9799,0.9791,0.8079,0.799,0.54,2.82
14,1701.8,0.008445,0.008597,0.9794,0.8024,0.9797,0.9792,0.8075,0.7972,0.53,2.79
15,1825.2,0.008433,0.008612,0.9799,0.8022,0.9802,0.9796,0.8056,0.7989,0.55,2.81
16,1948.6,0.008422,0.008603,0.9794,0.8026,0.9798,0.979,0.8062,0.7991,0.51,2.79
17,2072.1,0.00841,0.008609,0.9794,0.8023,0.9796,0.9793,0.8059,0.7987,0.52,2.8
18,2195.1,0.008397,0.008628,0.9798,0.802,0.9801,0.9794,0.8072,0.7969,0.52,2.81
19,2318.4,0.008387,0.008613,0.9803,0.8035,0.9806,0.98,0.8074,0.7995,0.54,2.79
20,2441.4,0.008377,0.008615,0.9799,0.8014,0.9803,0.9795,0.8046,0.7984,0.54,2.77
21,2564.7,0.008364,0.008637,0.9793,0.8007,0.9796,0.9791,0.8046,0.7969,0.53,2.79
22,2687.7,0.008354,0.008649,0.9798,0.8034,0.9802,0.9794,0.8068,0.8,0.53,2.79
23,2811.2,0.008344,0.008644,0.9792,0.8009,0.9795,0.9788,0.8047,0.797,0.53,2.77
24,2934.1,0.008334,0.008655,0.9796,0.8004,0.9798,0.9794,0.8037,0.7971,0.52,2.77
25,3057.5,0.008323,0.008665,0.9791,0.8012,0.9795,0.9786,0.8053,0.797,0.51,2.8
26,3180.6,0.008313,0.008674,0.9799,0.8,0.9802,0.9795,0.8052,0.7949,0.53,2.81
27,3303.8,0.008303,0.00868,0.9794,0.8007,0.9798,0.9791,0.8034,0.798,0.55,2.81
