epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,141.1,0.02175,0.008859,0.9725,0.7905,0.9729,0.9722,0.796,0.7852,0.64,2.9
2,263.8,0.008791,0.008762,0.9753,0.7949,0.976,0.9746,0.799,0.7908,0.62,2.86
3,380.9,0.008702,0.008707,0.9763,0.7972,0.9766,0.9761,0.8042,0.7903,0.65,2.83
4,499.0,0.008655,0.008686,0.978,0.7976,0.9784,0.9776,0.8012,0.794,0.61,2.88
5,632.5,0.008619,0.008671,0.9774,0.7986,0.9774,0.9774,0.8038,0.7935,0.6,2.82
6,781.3,0.008588,0.008646,0.9789,0.8005,0.9787,0.9791,0.8039,0.7972,0.6,2.86
7,898.7,0.008564,0.008625,0.9788,0.7992,0.9791,0.9785,0.8033,0.7951,0.6,2.81
8,1016.3,0.008542,0.008603,0.9796,0.8016,0.9797,0.9795,0.805,0.7982,0.59,2.78
9,1134.2,0.008525,0.008605,0.979,0.802,0.9795,0.9785,0.8058,0.7983,0.56,2.83
10,1252.2,0.008508,0.008599,0.9799,0.8031,0.9803,0.9795,0.8086,0.7976,0.59,2.8
11,1371.5,0.008493,0.008615,0.9797,0.8025,0.9801,0.9793,0.8065,0.7987,0.56,2.82
12,1490.1,0.008479,0.008596,0.9806,0.803,0.9809,0.9802,0.8078,0.7983,0.58,2.8
13,1607.5,0.008465,0.008619,0.98,0.8018,0.9804,0.9797,0.8059,0.7978,0.57,2.83
14,1725.2,0.008452,0.008613,0.9798,0.8011,0.9803,0.9794,0.8037,0.7984,0.56,2.78
15,1842.6,0.00844,0.008618,0.9805,0.8021,0.9808,0.9802,0.805,0.7992,0.56,2.8
16,1961.2,0.008427,0.008623,0.9799,0.8016,0.9804,0.9794,0.8043,0.7989,0.59,2.79
17,2077.8,0.008415,0.00863,0.9793,0.8017,0.9794,0.9792,0.8065,0.797,0.55,2.8
18,2194.9,0.008403,0.008633,0.9803,0.8027,0.9806,0.9801,0.8066,0.7988,0.55,2.82
19,2316.3,0.008391,0.008653,0.9794,0.8012,0.9796,0.9791,0.805,0.7974,0.56,2.79
20,2436.7,0.00838,0.008643,0.9798,0.8028,0.9804,0.9793,0.8064,0.7991,0.56,2.81
21,2555.6,0.00837,0.008639,0.9798,0.8025,0.98,0.9795,0.8065,0.7985,0.55,2.83
22,2673.0,0.008357,0.008659,0.9791,0.8022,0.9795,0.9787,0.8066,0.7979,0.57,2.81
23,2793.6,0.008347,0.008667,0.9792,0.8033,0.9796,0.9787,0.8073,0.7994,0.55,2.83
24,2912.2,0.008336,0.008677,0.9797,0.8018,0.98,0.9793,0.8048,0.7988,0.54,2.82
25,3032.1,0.008326,0.00869,0.9793,0.8025,0.9796,0.979,0.8056,0.7994,0.54,2.82
26,3151.8,0.008315,0.008701,0.9791,0.8019,0.9794,0.9787,0.8052,0.7985,0.56,2.8
27,3268.3,0.008304,0.008711,0.9795,0.8013,0.9799,0.979,0.806,0.7966,0.54,2.84
