epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,57.8,0.020591,0.009073,0.9642,0.7789,0.9657,0.9628,0.786,0.7719,1.27,3.4
2,115.5,0.008983,0.008957,0.9666,0.7852,0.9671,0.9661,0.7904,0.78,1.28,3.27
3,171.3,0.008891,0.008882,0.9688,0.7876,0.9695,0.9681,0.7942,0.7811,1.21,3.24
4,227.7,0.00884,0.008864,0.9699,0.7882,0.9704,0.9693,0.7931,0.7833,1.26,3.27
5,284.7,0.008805,0.00884,0.9707,0.789,0.9715,0.97,0.7956,0.7826,1.24,3.24
6,340.4,0.008777,0.008815,0.9713,0.7907,0.9717,0.9708,0.7968,0.7848,1.19,3.25
7,395.8,0.008754,0.008816,0.9712,0.7898,0.9716,0.9709,0.7949,0.7848,1.22,3.23
8,450.7,0.008736,0.008802,0.9714,0.7907,0.9718,0.971,0.7947,0.7868,1.22,3.22
9,505.9,0.00872,0.00881,0.9716,0.7902,0.9724,0.9707,0.7947,0.7858,1.22,3.24
10,561.0,0.008705,0.008786,0.9723,0.791,0.9728,0.9718,0.7956,0.7865,1.2,3.21
11,616.0,0.008691,0.008807,0.9722,0.7895,0.9726,0.9717,0.7942,0.7849,1.23,3.23
12,670.3,0.008677,0.00878,0.9723,0.7915,0.9728,0.9719,0.7961,0.7869,1.19,3.23
13,725.1,0.008665,0.008795,0.9714,0.7923,0.9718,0.9709,0.797,0.7877,1.22,3.23
14,779.9,0.008653,0.008784,0.9723,0.7921,0.9728,0.9717,0.7954,0.7888,1.21,3.23
15,834.1,0.008641,0.008788,0.9721,0.7913,0.9727,0.9715,0.7953,0.7873,1.22,3.21
16,888.2,0.00863,0.008787,0.9723,0.7916,0.9725,0.972,0.796,0.7873,1.2,3.21
17,943.4,0.008618,0.008819,0.9716,0.7918,0.972,0.9711,0.7955,0.7882,1.2,3.24
18,998.8,0.008607,0.008804,0.9729,0.7915,0.9733,0.9724,0.7957,0.7875,1.21,3.22
19,1053.6,0.008596,0.0088,0.9725,0.7911,0.9731,0.9719,0.7953,0.7871,1.18,3.23
20,1108.8,0.008586,0.008802,0.9726,0.7901,0.973,0.9722,0.7945,0.7857,1.18,3.2
21,1163.1,0.008576,0.00882,0.9724,0.7907,0.9728,0.972,0.795,0.7864,1.19,3.21
22,1218.1,0.008564,0.008847,0.9722,0.7895,0.9729,0.9716,0.7941,0.7849,1.22,3.21
23,1273.0,0.008554,0.008823,0.9723,0.7902,0.9727,0.9719,0.7939,0.7866,1.2,3.21
24,1328.5,0.008544,0.008827,0.9722,0.7898,0.9725,0.9718,0.7938,0.7858,1.19,3.2
25,1383.4,0.008533,0.008857,0.9719,0.7909,0.9724,0.9715,0.7946,0.7873,1.18,3.23
26,1438.5,0.008523,0.008838,0.9719,0.7907,0.9725,0.9712,0.7945,0.787,1.2,3.21
27,1493.0,0.008513,0.008873,0.9718,0.7896,0.9724,0.9713,0.7945,0.7848,1.19,3.2
