epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,137.2,0.015433,0.010145,0.9212,0.7097,0.9241,0.9183,0.7241,0.6959,1.9,4.12
2,273.8,0.010042,0.010019,0.9265,0.7109,0.93,0.923,0.7189,0.7031,1.9,4.06
3,413.4,0.009908,0.009912,0.9299,0.717,0.9319,0.9279,0.7253,0.7089,1.89,4.09
4,551.4,0.009825,0.009866,0.9313,0.719,0.9327,0.9298,0.7296,0.7087,1.86,4.09
5,688.8,0.009769,0.009853,0.9315,0.7221,0.9334,0.9296,0.7335,0.7111,1.9,4.03
6,828.7,0.009722,0.009795,0.9347,0.7224,0.9354,0.934,0.7333,0.7119,1.91,4.03
7,965.5,0.009682,0.009782,0.9345,0.7236,0.9356,0.9334,0.7352,0.7123,1.9,4.0
8,1102.3,0.009646,0.009803,0.9359,0.7218,0.937,0.9347,0.731,0.7129,1.91,4.1
9,1240.5,0.009612,0.009748,0.936,0.7241,0.9369,0.9351,0.7319,0.7165,1.88,4.02
10,1378.3,0.009578,0.009738,0.9375,0.7243,0.9387,0.9364,0.7325,0.7163,1.91,3.98
11,1516.2,0.009546,0.009747,0.9374,0.7232,0.9392,0.9356,0.7324,0.7142,1.89,3.99
12,1653.4,0.009514,0.009742,0.9373,0.7256,0.9385,0.9362,0.7345,0.717,1.89,4.02
13,1790.1,0.009482,0.009753,0.9367,0.7249,0.9378,0.9357,0.7329,0.7172,1.89,3.99
14,1927.4,0.009449,0.009761,0.9371,0.7239,0.9383,0.936,0.7307,0.7172,1.89,3.98
15,2063.7,0.009415,0.009764,0.9372,0.7267,0.9385,0.9359,0.7345,0.719,1.89,3.98
16,2201.4,0.009379,0.009781,0.9359,0.7278,0.9366,0.9352,0.7358,0.7199,1.87,4.02
17,2338.5,0.009345,0.009773,0.937,0.7254,0.9381,0.936,0.7324,0.7186,1.88,3.99
18,2475.7,0.009303,0.009812,0.9365,0.7251,0.9376,0.9355,0.732,0.7182,1.89,4.0
19,2612.9,0.009265,0.009823,0.9357,0.7245,0.9365,0.9349,0.7312,0.7178,1.89,4.0
20,2750.6,0.009228,0.009903,0.9342,0.724,0.935,0.9334,0.7307,0.7175,1.88,4.0
21,2889.0,0.009188,0.009885,0.9355,0.7229,0.9361,0.935,0.7297,0.7162,1.88,3.97
22,3025.6,0.009146,0.009944,0.9343,0.7243,0.9353,0.9333,0.7315,0.7172,1.9,4.04
23,3162.7,0.009106,0.009965,0.9326,0.7228,0.9336,0.9315,0.7295,0.7163,1.89,4.0
24,3300.4,0.009067,0.009991,0.9334,0.722,0.9347,0.932,0.728,0.7162,1.9,3.99
25,3438.9,0.009029,0.010042,0.9319,0.7205,0.9326,0.9312,0.7274,0.7137,1.91,3.99
