epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,158.5,0.014441,0.009025,0.9661,0.7831,0.9669,0.9653,0.7882,0.778,1.3,3.28
2,315.7,0.008962,0.008915,0.9697,0.7878,0.9702,0.9692,0.7933,0.7824,1.31,3.24
3,473.2,0.008869,0.008878,0.9715,0.7895,0.972,0.971,0.7949,0.7842,1.29,3.22
4,630.6,0.008819,0.008838,0.9722,0.792,0.973,0.9714,0.7979,0.7863,1.23,3.21
5,788.0,0.008781,0.008852,0.9717,0.7921,0.9722,0.9712,0.7982,0.786,1.29,3.17
6,945.1,0.008752,0.008806,0.9728,0.7944,0.9732,0.9723,0.7987,0.7902,1.22,3.16
7,1102.2,0.008727,0.008793,0.972,0.7939,0.9724,0.9716,0.7975,0.7904,1.21,3.17
8,1259.2,0.008706,0.008759,0.974,0.7948,0.9743,0.9736,0.799,0.7907,1.21,3.17
9,1416.4,0.008687,0.008765,0.9737,0.7961,0.9738,0.9735,0.8009,0.7913,1.22,3.17
10,1573.4,0.00867,0.00875,0.9747,0.7961,0.9749,0.9744,0.799,0.7934,1.22,3.19
11,1730.4,0.008652,0.008765,0.9743,0.7953,0.9748,0.9738,0.8003,0.7905,1.22,3.15
12,1887.6,0.008634,0.008761,0.9747,0.7975,0.975,0.9744,0.8016,0.7936,1.22,3.18
13,2044.7,0.008618,0.008762,0.9744,0.7965,0.9748,0.974,0.7997,0.7933,1.24,3.16
14,2201.7,0.0086,0.008762,0.975,0.7953,0.9753,0.9746,0.7983,0.7923,1.22,3.16
15,2358.8,0.008583,0.008748,0.975,0.7974,0.9756,0.9744,0.8013,0.7934,1.21,3.18
16,2515.8,0.008566,0.008763,0.9733,0.796,0.9737,0.9729,0.7983,0.7936,1.2,3.15
17,2673.0,0.008549,0.008789,0.9733,0.7952,0.9737,0.9729,0.7992,0.7914,1.19,3.16
18,2830.2,0.008529,0.008794,0.9733,0.7949,0.9736,0.973,0.7974,0.7924,1.18,3.17
19,2987.3,0.00851,0.008807,0.9729,0.7949,0.9733,0.9725,0.7977,0.7922,1.23,3.16
20,3144.5,0.00849,0.008809,0.9737,0.7954,0.9741,0.9733,0.7985,0.7923,1.19,3.17
21,3301.5,0.008468,0.008824,0.9738,0.7964,0.9739,0.9736,0.8021,0.7909,1.22,3.17
22,3458.9,0.008446,0.008835,0.9733,0.7954,0.9736,0.9729,0.7975,0.7934,1.19,3.18
23,3616.3,0.00842,0.008863,0.9731,0.7942,0.9733,0.9728,0.7978,0.7906,1.19,3.19
24,3773.4,0.008396,0.008861,0.9731,0.7924,0.9734,0.9728,0.7945,0.7903,1.19,3.19
25,3930.6,0.008367,0.008891,0.9731,0.7939,0.9736,0.9727,0.7969,0.7909,1.19,3.17
26,4087.8,0.008339,0.008969,0.9726,0.7909,0.9731,0.9721,0.7951,0.7867,1.2,3.17
27,4244.8,0.008308,0.008966,0.9723,0.788,0.9727,0.9718,0.7905,0.7855,1.19,3.18
28,4402.0,0.008275,0.008985,0.9729,0.7876,0.9734,0.9725,0.7899,0.7853,1.19,3.17
29,4559.4,0.008241,0.00901,0.9719,0.7874,0.9724,0.9715,0.7901,0.7847,1.19,3.17
30,4716.5,0.008207,0.009053,0.9726,0.7859,0.973,0.9723,0.7891,0.7828,1.2,3.18
