epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,55.0,0.021528,0.009076,0.9625,0.7803,0.9635,0.9616,0.7899,0.771,1.28,3.43
2,109.8,0.008977,0.008948,0.9663,0.7858,0.9669,0.9658,0.7927,0.779,1.23,3.35
3,164.3,0.008894,0.008915,0.9678,0.7872,0.968,0.9675,0.7932,0.7814,1.23,3.31
4,218.9,0.008847,0.008875,0.9706,0.787,0.9709,0.9704,0.7921,0.782,1.22,3.32
5,273.8,0.008815,0.008855,0.9709,0.7898,0.9715,0.9703,0.7958,0.784,1.22,3.3
6,328.9,0.008787,0.008833,0.9716,0.7894,0.9719,0.9713,0.794,0.7849,1.19,3.31
7,383.1,0.008767,0.008815,0.9717,0.7898,0.9719,0.9716,0.7941,0.7855,1.2,3.29
8,438.2,0.008748,0.008811,0.9719,0.7905,0.9723,0.9715,0.7959,0.7853,1.22,3.33
9,492.9,0.008731,0.008792,0.9721,0.7911,0.9724,0.9719,0.7965,0.7857,1.2,3.26
10,548.1,0.008717,0.0088,0.9725,0.7901,0.973,0.9721,0.7942,0.7861,1.2,3.26
11,603.1,0.008702,0.0088,0.9728,0.7913,0.9732,0.9725,0.7963,0.7863,1.19,3.3
12,657.5,0.008689,0.008787,0.9735,0.7923,0.9742,0.9729,0.7972,0.7875,1.22,3.28
13,712.3,0.008676,0.008801,0.9717,0.7901,0.9717,0.9717,0.7958,0.7845,1.2,3.23
14,767.1,0.008664,0.008786,0.9734,0.7929,0.9737,0.9731,0.7971,0.7887,1.19,3.27
15,822.2,0.008652,0.008793,0.9733,0.791,0.9735,0.973,0.7964,0.7857,1.19,3.25
16,877.2,0.008642,0.008787,0.9731,0.7916,0.9734,0.9727,0.7972,0.786,1.18,3.24
17,932.4,0.00863,0.0088,0.9729,0.791,0.9733,0.9725,0.7955,0.7865,1.18,3.24
18,987.7,0.00862,0.008809,0.974,0.7908,0.9744,0.9736,0.7941,0.7874,1.2,3.24
19,1042.7,0.008609,0.008797,0.9731,0.792,0.9735,0.9728,0.7959,0.7881,1.19,3.24
20,1097.9,0.008597,0.008816,0.9737,0.7904,0.9739,0.9735,0.7951,0.7858,1.19,3.24
21,1152.8,0.008585,0.008808,0.9735,0.7912,0.974,0.9731,0.7955,0.7869,1.2,3.25
22,1208.0,0.008577,0.008817,0.9738,0.7916,0.9743,0.9733,0.7969,0.7864,1.18,3.24
23,1263.6,0.008566,0.008834,0.9734,0.7907,0.9737,0.973,0.7948,0.7866,1.21,3.26
24,1318.1,0.008555,0.008837,0.9731,0.7877,0.9734,0.9727,0.7929,0.7826,1.19,3.24
25,1373.5,0.008545,0.008853,0.9719,0.7903,0.9721,0.9717,0.7945,0.7862,1.19,3.23
26,1428.7,0.008533,0.008865,0.9726,0.7878,0.9729,0.9722,0.7923,0.7833,1.18,3.24
27,1483.7,0.008524,0.008866,0.9727,0.7905,0.9731,0.9723,0.795,0.7861,1.2,3.24
28,1538.7,0.008515,0.008889,0.972,0.7866,0.9724,0.9716,0.7918,0.7814,1.19,3.25
29,1593.8,0.008505,0.008859,0.972,0.7896,0.9723,0.9717,0.7943,0.7849,1.18,3.24
