epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,208.1,0.014526,0.009391,0.9444,0.7925,0.9473,0.9415,0.8037,0.7815,1.35,2.85
2,416.2,0.009204,0.009172,0.9496,0.796,0.9494,0.9498,0.7979,0.794,1.27,2.8
3,624.3,0.009087,0.009079,0.9524,0.8012,0.9553,0.9496,0.8063,0.7962,1.17,2.79
4,832.2,0.009021,0.00906,0.9524,0.8009,0.953,0.9517,0.8057,0.7962,1.17,2.79
5,1040.3,0.008977,0.009002,0.9556,0.8015,0.9592,0.952,0.8042,0.7989,1.09,2.77
6,1248.5,0.00894,0.008964,0.9572,0.8033,0.9593,0.9552,0.8076,0.799,1.13,2.78
7,1456.5,0.008909,0.008977,0.9573,0.8044,0.9601,0.9544,0.8125,0.7964,1.08,2.77
8,1664.6,0.008884,0.008961,0.9576,0.8051,0.9606,0.9546,0.8089,0.8013,1.09,2.83
9,1872.7,0.00886,0.008924,0.9582,0.8049,0.9617,0.9547,0.8074,0.8025,1.07,2.77
10,2080.8,0.008837,0.008953,0.9574,0.8039,0.9595,0.9552,0.8083,0.7995,1.06,2.78
11,2288.8,0.008815,0.008938,0.9558,0.806,0.9561,0.9555,0.8101,0.8019,1.04,2.78
12,2497.0,0.008795,0.008916,0.9575,0.8065,0.9585,0.9564,0.8105,0.8025,1.05,2.78
13,2705.3,0.008776,0.008893,0.9588,0.8075,0.9602,0.9573,0.8109,0.8041,1.02,2.78
14,2913.4,0.008757,0.008904,0.9582,0.8064,0.9594,0.957,0.8094,0.8033,1.01,2.77
15,3121.7,0.008737,0.0089,0.9603,0.8072,0.9633,0.9573,0.8119,0.8025,0.99,2.8
16,3329.8,0.008719,0.008901,0.9592,0.8083,0.961,0.9575,0.8112,0.8054,0.99,2.83
17,3538.3,0.008701,0.008879,0.96,0.8077,0.9619,0.9581,0.811,0.8045,0.97,2.79
18,3746.6,0.008682,0.008893,0.9584,0.8076,0.9597,0.9572,0.8095,0.8058,0.99,2.78
19,3954.9,0.008662,0.008882,0.9613,0.8076,0.9625,0.9601,0.8106,0.8045,0.96,2.76
20,4163.3,0.008643,0.008896,0.9587,0.8091,0.96,0.9575,0.8119,0.8063,0.95,2.8
21,4371.8,0.008623,0.008872,0.9606,0.8082,0.9618,0.9594,0.8102,0.8062,0.93,2.76
22,4580.3,0.008604,0.008909,0.9601,0.8096,0.9616,0.9587,0.8123,0.8069,0.92,2.82
23,4788.7,0.008581,0.008928,0.9594,0.8099,0.9612,0.9575,0.8143,0.8055,0.93,2.79
24,4997.3,0.008561,0.008911,0.9602,0.8096,0.9615,0.9588,0.8133,0.8059,0.91,2.82
25,5205.8,0.008538,0.008939,0.96,0.8086,0.962,0.958,0.8114,0.8059,0.9,2.78
26,5414.3,0.008515,0.00894,0.9597,0.8086,0.9621,0.9573,0.8113,0.8059,0.86,2.79
27,5622.8,0.008491,0.008943,0.9597,0.8088,0.9613,0.9581,0.8121,0.8056,0.87,2.78
28,5831.2,0.008466,0.008965,0.9592,0.8079,0.9608,0.9576,0.8111,0.8046,0.89,2.8
29,6039.7,0.00844,0.009011,0.9572,0.8065,0.9592,0.9551,0.8101,0.8029,0.84,2.78
30,6248.3,0.008414,0.009014,0.9573,0.8071,0.9591,0.9556,0.811,0.8032,0.85,2.79
31,6456.9,0.008389,0.008999,0.9601,0.8058,0.9617,0.9584,0.8089,0.8026,0.84,2.81
32,6665.3,0.008362,0.009069,0.9589,0.8052,0.9606,0.9573,0.8093,0.8013,0.8,2.78
33,6873.7,0.008334,0.009076,0.9575,0.8033,0.9591,0.956,0.8065,0.8001,0.81,2.8
34,7082.4,0.008305,0.009155,0.9571,0.8029,0.9584,0.9558,0.8059,0.7999,0.79,2.79
35,7290.8,0.008279,0.009152,0.959,0.8018,0.9605,0.9576,0.8055,0.7981,0.79,2.8
36,7499.4,0.008251,0.009158,0.9577,0.8011,0.9595,0.956,0.8043,0.7979,0.79,2.81
