epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,132.2,0.018574,0.013253,0.7956,0.5079,0.812,0.7799,0.5395,0.4798,3.54,4.82
2,264.3,0.01312,0.012994,0.8026,0.5169,0.8211,0.7849,0.5509,0.4868,3.43,4.77
3,396.3,0.012907,0.012895,0.8059,0.52,0.8184,0.7937,0.5609,0.4846,3.48,4.8
4,528.4,0.01278,0.012812,0.8088,0.5222,0.8226,0.7954,0.5554,0.4928,3.48,4.8
5,660.4,0.012684,0.012737,0.8119,0.5318,0.828,0.7965,0.5672,0.5007,3.51,4.75
6,792.4,0.012608,0.012692,0.8155,0.5317,0.831,0.8006,0.5675,0.5002,3.53,4.74
7,924.4,0.012543,0.012645,0.816,0.5328,0.8311,0.8014,0.5731,0.4978,3.57,4.75
8,1056.4,0.012485,0.012629,0.8171,0.533,0.833,0.8019,0.5666,0.5032,3.5,4.76
9,1188.4,0.012429,0.012613,0.8167,0.5362,0.8293,0.8045,0.5729,0.5039,3.5,4.75
10,1320.5,0.012378,0.012614,0.8158,0.5361,0.83,0.8021,0.5698,0.5061,3.48,4.74
11,1452.5,0.012329,0.012587,0.8166,0.5388,0.8265,0.8069,0.5728,0.5086,3.51,4.75
12,1584.6,0.01228,0.012569,0.8181,0.5378,0.8295,0.8071,0.5726,0.507,3.5,4.75
13,1716.8,0.012231,0.012563,0.8181,0.5393,0.8275,0.809,0.574,0.5085,3.58,4.74
14,1849.0,0.012184,0.012577,0.8173,0.5389,0.8273,0.8076,0.5714,0.5099,3.52,4.73
15,1981.2,0.012134,0.012596,0.8162,0.5389,0.8235,0.8091,0.5688,0.512,3.55,4.75
16,2113.3,0.012086,0.012607,0.8197,0.5377,0.8306,0.8091,0.5743,0.5054,3.51,4.73
17,2245.4,0.012035,0.012601,0.8184,0.5402,0.8305,0.8067,0.5736,0.5105,3.46,4.74
18,2377.6,0.011983,0.012647,0.8165,0.5414,0.8229,0.8103,0.5739,0.5125,3.5,4.74
19,2509.7,0.011932,0.012672,0.817,0.5393,0.8279,0.8064,0.5714,0.5106,3.51,4.75
20,2641.9,0.011875,0.012713,0.8155,0.5377,0.823,0.8081,0.5672,0.5111,3.49,4.74
21,2774.2,0.011821,0.012724,0.8155,0.537,0.8249,0.8062,0.565,0.5116,3.51,4.76
22,2906.4,0.011767,0.012795,0.8137,0.5348,0.8207,0.8068,0.5642,0.5083,3.52,4.75
23,3038.7,0.011709,0.012738,0.8138,0.5392,0.8221,0.8056,0.569,0.5124,3.49,4.74
24,3170.9,0.011653,0.012903,0.8117,0.5357,0.8188,0.8048,0.5638,0.5102,3.55,4.74
25,3303.1,0.011594,0.012898,0.8097,0.5385,0.8166,0.8029,0.5683,0.5117,3.52,4.74
26,3435.3,0.011538,0.01298,0.8105,0.5368,0.8155,0.8055,0.5687,0.5084,3.52,4.74
27,3567.5,0.011483,0.013072,0.8095,0.5391,0.817,0.8022,0.5665,0.5142,3.57,4.75
28,3699.7,0.011427,0.01302,0.8076,0.5362,0.8125,0.8028,0.5634,0.5114,3.52,4.74
