epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,161.4,0.03662,0.029687,0.0793,0.0372,0.4189,0.0438,0.444,0.0194,2.57,4.8
2,322.5,0.026806,0.02547,0.1685,0.1678,0.517,0.1006,0.4337,0.104,2.06,4.92
3,483.8,0.024671,0.024405,0.204,0.2175,0.5445,0.1255,0.4766,0.1409,1.91,4.85
4,645.1,0.023727,0.023847,0.2416,0.2555,0.5067,0.1586,0.4646,0.1762,1.86,4.85
5,806.5,0.023112,0.023481,0.2471,0.2726,0.5305,0.161,0.4808,0.1903,1.88,4.81
6,967.8,0.022654,0.023289,0.2646,0.2868,0.5023,0.1796,0.4849,0.2036,1.82,4.77
7,1129.1,0.022286,0.023216,0.2731,0.2948,0.5028,0.1875,0.5022,0.2086,1.78,4.77
8,1290.4,0.021965,0.02315,0.2795,0.2998,0.4984,0.1942,0.4955,0.2149,1.85,4.76
9,1451.8,0.021689,0.023083,0.2872,0.3065,0.4889,0.2033,0.4823,0.2246,1.87,4.81
10,1613.1,0.021444,0.023019,0.2793,0.3085,0.5315,0.1894,0.4899,0.2251,1.78,4.73
11,1774.4,0.02122,0.023054,0.2898,0.3106,0.4892,0.2058,0.486,0.2282,1.76,4.8
12,1935.6,0.021009,0.023043,0.2859,0.3098,0.5063,0.1992,0.4857,0.2275,1.77,4.78
13,2096.9,0.020813,0.023252,0.2984,0.3143,0.4649,0.2197,0.467,0.2368,1.75,4.79
14,2258.1,0.02064,0.023283,0.2954,0.3162,0.4801,0.2134,0.4641,0.2398,1.81,4.77
15,2419.3,0.020467,0.023178,0.2975,0.3167,0.478,0.2159,0.4746,0.2376,1.78,4.75
16,2580.4,0.020308,0.023311,0.3047,0.3151,0.442,0.2325,0.4642,0.2385,1.76,4.77
17,2741.5,0.020159,0.023421,0.3048,0.3142,0.4586,0.2283,0.4488,0.2417,1.74,4.77
18,2902.6,0.020016,0.023505,0.3058,0.3156,0.4581,0.2294,0.4548,0.2417,1.76,4.73
19,3063.8,0.019877,0.023622,0.3013,0.3149,0.4703,0.2216,0.4473,0.243,1.8,4.7
20,3225.0,0.019753,0.023619,0.3008,0.3137,0.4648,0.2223,0.4508,0.2405,1.74,4.75
21,3386.2,0.019627,0.023937,0.305,0.3129,0.4332,0.2353,0.4388,0.2432,1.77,4.79
22,3547.3,0.019511,0.02393,0.308,0.3143,0.4346,0.2385,0.4386,0.2449,1.79,4.76
23,3708.5,0.019399,0.02393,0.3041,0.3121,0.4398,0.2324,0.4379,0.2424,1.76,4.74
24,3869.8,0.019288,0.024083,0.3039,0.3126,0.4471,0.2302,0.4359,0.2437,1.78,4.73
25,4031.0,0.019187,0.024136,0.3069,0.3137,0.447,0.2336,0.4377,0.2444,1.75,4.71
