epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,157.8,0.014511,0.009111,0.9614,0.7821,0.9622,0.9606,0.7898,0.7745,1.31,3.24
2,315.2,0.009013,0.009009,0.9659,0.7847,0.9665,0.9653,0.7891,0.7804,1.27,3.23
3,472.2,0.008919,0.008934,0.9682,0.7876,0.9689,0.9674,0.7915,0.7838,1.27,3.2
4,629.1,0.008867,0.008901,0.9685,0.79,0.9694,0.9677,0.7962,0.7839,1.23,3.18
5,786.4,0.008827,0.008893,0.9698,0.7891,0.9707,0.9688,0.7947,0.7835,1.29,3.16
6,943.5,0.008797,0.00887,0.9684,0.7906,0.9689,0.9679,0.794,0.7871,1.2,3.15
7,1100.4,0.008771,0.008847,0.9701,0.7925,0.9703,0.9698,0.7955,0.7894,1.24,3.19
8,1257.3,0.008749,0.008824,0.9706,0.7944,0.9711,0.9702,0.7986,0.7902,1.22,3.16
9,1414.8,0.008729,0.008826,0.9705,0.7945,0.9711,0.97,0.7999,0.7893,1.21,3.16
10,1571.8,0.00871,0.008807,0.9713,0.7946,0.9718,0.9708,0.7991,0.79,1.22,3.16
11,1729.3,0.00869,0.008809,0.9716,0.7938,0.9718,0.9713,0.798,0.7896,1.23,3.15
12,1886.3,0.008672,0.008806,0.972,0.7947,0.9722,0.9718,0.7991,0.7902,1.22,3.15
13,2043.4,0.008654,0.008826,0.9718,0.7953,0.9722,0.9713,0.7987,0.7919,1.24,3.16
14,2200.4,0.008636,0.008803,0.9718,0.7956,0.9724,0.9711,0.7985,0.7927,1.24,3.15
15,2357.4,0.008619,0.008811,0.9713,0.7954,0.9716,0.971,0.7985,0.7923,1.2,3.17
16,2514.6,0.008599,0.008822,0.9711,0.7968,0.9716,0.9707,0.7995,0.794,1.2,3.16
17,2672.0,0.00858,0.008853,0.9702,0.7953,0.9705,0.9699,0.7998,0.791,1.19,3.15
18,2829.4,0.008558,0.008858,0.9697,0.7937,0.97,0.9695,0.7974,0.7901,1.18,3.15
19,2986.8,0.008539,0.008874,0.9715,0.794,0.9718,0.9712,0.798,0.79,1.23,3.15
20,3144.3,0.008518,0.008865,0.9715,0.7957,0.9721,0.9709,0.7987,0.7927,1.21,3.16
21,3301.2,0.008493,0.008895,0.9716,0.7943,0.972,0.9712,0.7978,0.7908,1.24,3.16
22,3458.6,0.008469,0.008911,0.971,0.7938,0.9717,0.9704,0.7976,0.7901,1.21,3.14
23,3615.9,0.008444,0.008941,0.9713,0.7938,0.972,0.9705,0.7977,0.79,1.21,3.15
24,3772.8,0.008417,0.008973,0.9699,0.7911,0.9702,0.9695,0.7938,0.7884,1.2,3.14
25,3930.2,0.008389,0.009007,0.9696,0.7919,0.9701,0.9691,0.795,0.7888,1.21,3.16
26,4087.4,0.00836,0.009025,0.9709,0.7895,0.9712,0.9706,0.7933,0.7858,1.2,3.18
27,4244.6,0.008329,0.009045,0.9705,0.7876,0.9709,0.9702,0.7912,0.784,1.22,3.16
28,4402.1,0.008296,0.009074,0.9709,0.7866,0.9716,0.9702,0.7891,0.7842,1.21,3.15
29,4559.6,0.008266,0.009134,0.9702,0.7858,0.9708,0.9696,0.7896,0.7821,1.21,3.16
