epoch,wall_clock_sec,train_loss,val_loss,val_p_f1,val_s_f1,val_p_precision,val_p_recall,val_s_precision,val_s_recall,val_p_mae,val_s_mae
1,23.3,0.052174,0.017697,0.6372,0.535,0.8228,0.5199,0.5985,0.4836,3.89,4.48
2,46.3,0.01613,0.015708,0.6866,0.5507,0.7453,0.6364,0.6102,0.5018,3.97,4.46
3,69.4,0.015392,0.015195,0.7034,0.5614,0.7648,0.6512,0.6046,0.524,3.67,4.35
4,92.5,0.0151,0.015086,0.7034,0.5678,0.7573,0.6566,0.619,0.5244,3.76,4.3
5,115.6,0.014886,0.014851,0.7044,0.5683,0.7594,0.6569,0.6501,0.5048,3.62,4.24
6,138.8,0.014739,0.014714,0.7125,0.5714,0.7713,0.662,0.6398,0.5163,3.55,4.22
7,161.9,0.014629,0.01462,0.7153,0.571,0.7693,0.6684,0.6562,0.5054,3.57,4.21
8,185.1,0.01452,0.014535,0.7201,0.5803,0.7715,0.6752,0.625,0.5416,3.59,4.27
9,208.2,0.014429,0.014505,0.7213,0.5742,0.7773,0.6728,0.6267,0.5299,3.49,4.33
10,231.2,0.014345,0.014502,0.721,0.5761,0.7711,0.6771,0.6363,0.5264,3.5,4.28
11,254.4,0.014275,0.014399,0.7263,0.5795,0.7811,0.6786,0.6115,0.5506,3.43,4.25
12,277.3,0.014199,0.014426,0.7257,0.5781,0.774,0.6831,0.6171,0.5437,3.51,4.28
13,300.4,0.01413,0.01446,0.7246,0.5782,0.7777,0.6782,0.6217,0.5403,3.55,4.27
14,323.6,0.014062,0.014528,0.7067,0.5762,0.7581,0.6617,0.6176,0.54,3.42,4.21
15,346.7,0.013999,0.014408,0.7266,0.5781,0.7812,0.6792,0.617,0.5438,3.4,4.26
16,369.7,0.013933,0.014445,0.7248,0.5784,0.7742,0.6813,0.6135,0.547,3.43,4.25
17,392.8,0.01387,0.014446,0.7247,0.5759,0.771,0.6836,0.6147,0.5417,3.39,4.22
18,415.9,0.013809,0.014449,0.7227,0.5829,0.7718,0.6795,0.6398,0.5352,3.38,4.21
19,438.9,0.013733,0.014439,0.7238,0.5757,0.7726,0.6808,0.5944,0.5583,3.39,4.24
20,461.9,0.013677,0.014434,0.7233,0.58,0.7642,0.6866,0.6222,0.5432,3.4,4.19
21,484.9,0.013596,0.01461,0.7207,0.5722,0.7665,0.6802,0.5979,0.5486,3.38,4.26
22,508.0,0.013515,0.014507,0.7258,0.5757,0.7735,0.6836,0.6355,0.5262,3.42,4.22
23,531.1,0.01344,0.014612,0.7191,0.5775,0.7657,0.6778,0.6073,0.5505,3.35,4.24
24,554.1,0.013361,0.014597,0.7255,0.5764,0.771,0.6852,0.6171,0.5407,3.35,4.25
25,577.2,0.013277,0.014799,0.7218,0.5698,0.7665,0.6819,0.6072,0.5368,3.38,4.21
26,600.2,0.013197,0.014759,0.7217,0.5732,0.7615,0.6859,0.6008,0.5479,3.39,4.2
